p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,3.364868473400862,0.891,0.107,0,0,OGN
0,2.8959484577462584,0.945,0.169,0,0,COL5A1
0,3.7662805929332746,0.958,0.184,0,0,COL5A2
0,3.66040459559806,0.908,0.153,0,0,MDK
0,3.3616675811967585,0.908,0.155,0,0,COPZ2
0,2.9494021487530495,0.935,0.187,0,0,THY1
0,5.261995173895836,0.858,0.113,0,0,POSTN
0,2.4696842617227324,0.944,0.204,0,0,COL14A1
0,3.0424936235645843,0.857,0.121,0,0,MXRA5
0,3.2181450347021148,0.807,0.075,0,0,CPXM1
0,4.419911599858017,0.879,0.154,0,0,ASPN
0,2.3087347092598725,0.932,0.208,0,0,THBS2
0,3.313671910193978,0.808,0.085,0,0,FAP
0,2.9094978397055535,0.966,0.244,0,0,HTRA1
0,2.2183608089820677,0.889,0.169,0,0,LOX
0,2.7011432413839747,0.801,0.086,0,0,VEGFB
0,3.936725680845136,0.943,0.229,0,0,FN1
0,3.3845068679812527,0.834,0.122,0,0,COL12A1
0,2.575646188423166,0.824,0.121,0,0,GPX8
0,2.7906355225115425,0.785,0.085,0,0,ADAMTS2
0,2.3787995707047225,0.933,0.236,0,0,VCAN
0,4.491152902530852,0.763,0.066,0,0,SFRP4
0,2.1702782742848514,0.886,0.19,0,0,BASP1
0,3.4622154974857002,0.727,0.032,0,0,GXYLT2
0,1.9303030822299834,0.902,0.212,0,0,FBN1
0,1.9999737656894725,0.806,0.118,0,0,MRC2
0,3.4238439769423703,0.746,0.058,0,0,CDH11
0,1.7820010613232418,0.875,0.188,0,0,RCN3
0,2.51018621552239,0.852,0.166,0,0,SEPT11
0,2.9155974520124683,0.804,0.121,0,0,COMP
0,2.686275640582126,0.96,0.278,0,0,COL6A3
0,1.4582355123674622,0.883,0.201,0,0,PDGFRL
0,2.4168932705734747,0.852,0.171,0,0,PTN
0,1.8646246270664513,0.888,0.208,0,0,CLEC11A
0,2.7458848781594853,0.85,0.171,0,0,SPON2
0,1.3300595609325219,0.871,0.194,0,0,LRP1
0,1.6101661907333724,0.882,0.206,0,0,MXRA8
0,1.6430801679443168,0.874,0.201,0,0,ECM1
0,2.0973166132013628,0.796,0.124,0,0,PODN
0,1.8566250052112643,0.857,0.185,0,0,FKBP10
0,1.8970730521401955,0.906,0.241,0,0,DPT
0,1.932345213853697,0.945,0.284,0,0,CD81
0,1.488914173195294,0.949,0.289,0,0,MEG3
0,2.1647493166675966,0.773,0.116,0,0,MFAP2
0,2.235740113253353,0.897,0.241,0,0,WISP2
0,1.5441347997610915,0.856,0.203,0,0,OLFML3
0,2.3390883502978728,0.76,0.107,0,0,P4HA2
0,2.2178460184072706,0.931,0.279,0,0,BGN
0,2.1766377300335007,0.79,0.139,0,0,ISLR
0,2.486383033349543,0.964,0.314,0,0,CTHRC1
0,1.5574077348762212,0.823,0.174,0,0,CERCAM
0,6.093561747984433,0.663,0.014,0,0,ADAM12
0,1.3572303395097733,0.81,0.162,0,0,MMP23B
0,1.4979071920272562,0.905,0.257,0,0,CRABP2
0,2.0152681328318924,0.78,0.132,0,0,KDELR3
0,1.3401079516999173,0.855,0.21,0,0,PRRX1
0,2.8644228210189406,0.706,0.061,0,0,SPON1
0,1.47857795271653,0.83,0.185,0,0,EFEMP2
0,1.7603774632274318,0.819,0.174,0,0,C12orf75
0,2.150722374801835,0.778,0.134,0,0,PALLD
0,1.7951740740302773,0.792,0.149,0,0,FAM114A1
0,1.9804134348913163,0.789,0.147,0,0,SPATS2L
0,1.5652093908653812,0.876,0.237,0,0,TTC3
0,1.5859252064291272,0.848,0.213,0,0,HDLBP
0,2.0786020902773537,0.747,0.112,0,0,CREB3L1
0,2.3655546959497764,0.757,0.123,0,0,CKAP4
0,1.6782309834839764,0.921,0.288,0,0,BRI3
0,3.124826214669884,0.706,0.074,0,0,NREP
0,3.2204575528023214,0.687,0.056,0,0,C1QTNF6
0,1.936458572743271,0.811,0.182,0,0,LMAN1
0,2.289660312384631,0.776,0.148,0,0,PPP1R14B
0,1.7010377584688663,0.765,0.137,0,0,CD248
0,1.5921015823766416,0.816,0.188,0,0,SEC31A
0,1.4451663432480009,0.946,0.318,0,0,AEBP1
0,1.879382960714692,0.887,0.26,0,0,CALU
0,1.8943012826324885,0.807,0.18,0,0,ANGPTL2
0,0.5634911320272074,0.738,0.112,0,0,TWIST1
0,1.083867161586593,0.906,0.281,0,0,XIST
0,1.834845292038962,0.763,0.139,0,0,ARL4C
0,1.2499589148190138,0.895,0.271,0,0,RRBP1
0,1.9523886670499808,0.953,0.329,0,0,MARCKS
0,2.829747714836204,0.99,0.367,0,0,SFRP2
0,1.9407389531370955,0.763,0.143,0,0,C1QTNF3
0,1.7659700040167576,0.765,0.147,0,0,ENAH
0,2.0805394959063044,0.724,0.106,0,0,ANTXR1
0,3.3516113460768056,0.673,0.055,0,0,GOLM1
0,1.2658903385227918,0.921,0.307,0,0,PPIC
0,1.4149032065163254,0.94,0.327,0,0,SERPINH1
0,2.124282403632725,0.698,0.086,0,0,ITGB5
0,1.5504224593613238,0.978,0.368,0,0,PCOLCE
0,2.4231190601622514,0.707,0.1,0,0,OLFML2B
0,3.4745358068371246,0.65,0.043,0,0,LRRC15
0,2.072928099427555,0.712,0.105,0,0,PLXDC2
0,2.5282581354549194,0.756,0.15,0,0,PRSS23
0,1.6495641254780393,0.872,0.267,0,0,PRDX4
0,1.1746508147575603,0.933,0.33,0,0,SELENOM
0,1.9479222372186737,0.711,0.109,0,0,GAS1
0,1.507544060358704,0.834,0.234,0,0,RCN1
0,1.0005271581809083,0.949,0.349,0,0,TIMP2
