seurat_clusters,GSM,condition,coarse_compartment_preliminary,cells
0,GSM4729098,normal_skin,endothelial,1
0,GSM4729100,hypertrophic_scar,fibroblast,12
0,GSM4729100,hypertrophic_scar,immune,2
0,GSM4729100,hypertrophic_scar,keratinocyte,1
0,GSM4729100,hypertrophic_scar,pericyte_smc,1
0,GSM4729101,hypertrophic_scar,fibroblast,6
0,GSM4729102,hypertrophic_scar,fibroblast,2720
0,GSM4729102,hypertrophic_scar,immune,1
1,GSM4729098,normal_skin,endothelial,9
1,GSM4729098,normal_skin,fibroblast,814
1,GSM4729098,normal_skin,immune,2
1,GSM4729098,normal_skin,keratinocyte,27
1,GSM4729098,normal_skin,pericyte_smc,6
1,GSM4729099,normal_skin,endothelial,6
1,GSM4729099,normal_skin,fibroblast,130
1,GSM4729099,normal_skin,immune,1
1,GSM4729099,normal_skin,keratinocyte,5
1,GSM4729099,normal_skin,pericyte_smc,5
1,GSM4729100,hypertrophic_scar,fibroblast,599
1,GSM4729101,hypertrophic_scar,endothelial,1
1,GSM4729101,hypertrophic_scar,fibroblast,417
1,GSM4729101,hypertrophic_scar,keratinocyte,1
1,GSM4729102,hypertrophic_scar,fibroblast,369
2,GSM4729097,normal_skin,fibroblast,1
2,GSM4729098,normal_skin,endothelial,1
2,GSM4729098,normal_skin,fibroblast,5
2,GSM4729098,normal_skin,pericyte_smc,1
2,GSM4729099,normal_skin,fibroblast,4
2,GSM4729100,hypertrophic_scar,fibroblast,34
2,GSM4729100,hypertrophic_scar,pericyte_smc,1
2,GSM4729101,hypertrophic_scar,endothelial,6
2,GSM4729101,hypertrophic_scar,fibroblast,2126
2,GSM4729101,hypertrophic_scar,immune,9
2,GSM4729101,hypertrophic_scar,keratinocyte,1
2,GSM4729101,hypertrophic_scar,pericyte_smc,32
2,GSM4729102,hypertrophic_scar,fibroblast,29
2,GSM4729102,hypertrophic_scar,pericyte_smc,1
3,GSM4729097,normal_skin,keratinocyte,98
3,GSM4729098,normal_skin,fibroblast,8
3,GSM4729098,normal_skin,keratinocyte,670
3,GSM4729098,normal_skin,pericyte_smc,2
3,GSM4729099,normal_skin,fibroblast,1
3,GSM4729099,normal_skin,keratinocyte,287
3,GSM4729100,hypertrophic_scar,fibroblast,1
3,GSM4729100,hypertrophic_scar,keratinocyte,263
3,GSM4729101,hypertrophic_scar,fibroblast,198
3,GSM4729101,hypertrophic_scar,keratinocyte,453
3,GSM4729101,hypertrophic_scar,pericyte_smc,1
3,GSM4729102,hypertrophic_scar,endothelial,1
3,GSM4729102,hypertrophic_scar,fibroblast,19
3,GSM4729102,hypertrophic_scar,keratinocyte,208
4,GSM4729097,normal_skin,endothelial,3
4,GSM4729097,normal_skin,immune,1
4,GSM4729098,normal_skin,endothelial,18
4,GSM4729098,normal_skin,fibroblast,10
4,GSM4729098,normal_skin,immune,270
4,GSM4729098,normal_skin,keratinocyte,78
4,GSM4729098,normal_skin,pericyte_smc,4
4,GSM4729099,normal_skin,endothelial,3
4,GSM4729099,normal_skin,fibroblast,2
4,GSM4729099,normal_skin,immune,32
4,GSM4729099,normal_skin,keratinocyte,7
4,GSM4729100,hypertrophic_scar,endothelial,7
4,GSM4729100,hypertrophic_scar,fibroblast,39
4,GSM4729100,hypertrophic_scar,immune,488
4,GSM4729100,hypertrophic_scar,keratinocyte,19
4,GSM4729100,hypertrophic_scar,pericyte_smc,60
4,GSM4729101,hypertrophic_scar,endothelial,2
4,GSM4729101,hypertrophic_scar,fibroblast,21
4,GSM4729101,hypertrophic_scar,immune,311
4,GSM4729101,hypertrophic_scar,keratinocyte,7
4,GSM4729101,hypertrophic_scar,pericyte_smc,4
4,GSM4729102,hypertrophic_scar,endothelial,33
4,GSM4729102,hypertrophic_scar,fibroblast,136
4,GSM4729102,hypertrophic_scar,immune,524
4,GSM4729102,hypertrophic_scar,keratinocyte,24
4,GSM4729102,hypertrophic_scar,pericyte_smc,1
5,GSM4729098,normal_skin,endothelial,236
5,GSM4729098,normal_skin,fibroblast,4
5,GSM4729098,normal_skin,immune,1
5,GSM4729098,normal_skin,keratinocyte,17
5,GSM4729098,normal_skin,pericyte_smc,1
5,GSM4729099,normal_skin,endothelial,21
5,GSM4729099,normal_skin,keratinocyte,1
