p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,6.093561747984433,0.663,0.014,0,0,ADAM12
0,5.261995173895836,0.858,0.113,0,0,POSTN
0,4.846285887147379,0.322,0.011,0,0,SCX
0,4.833266904301458,0.392,0.012,0,0,PLPP4
0,4.732745702375919,0.375,0.007,0,0,CILP2
0,4.649732513110953,0.406,0.009,0,0,P4HA3
0,4.491152902530852,0.763,0.066,0,0,SFRP4
0,4.419911599858017,0.879,0.154,0,0,ASPN
0,4.418709159825664,0.27,0.006,0,0,TENM3
0,4.299595663411438,0.286,0.007,0,0,LINC02544
0,4.144829037439412,0.288,0.008,0,0,ZNF469
0,4.118598450109397,0.522,0.018,0,0,COL8A1
0,4.043101482417474,0.315,0.009,0,0,KCNMA1
0,3.9580748950538647,0.395,0.01,0,0,GALNT5
0,3.9497259943393,0.363,0.013,0,0,LAMP5
0,3.6543897539900136,0.73,0.223,0,1,APOE
0,3.284741615473674,0.885,0.275,0,1,APOD
0,2.976090537167155,0.316,0.058,0,1,CXCL1
0,2.964989418387429,0.801,0.308,0,1,CXCL12
0,2.942841905712835,0.457,0.093,0,1,C3
3.537539512696485e-182,2.77252057413673,0.442,0.214,7.916659675463463e-178,1,TNFAIP6
0,2.748192539639039,0.47,0.099,0,1,ADH1B
0,2.6541570807290213,0.579,0.139,0,1,PTGDS
0,2.600779059448745,0.395,0.088,0,1,APCDD1
0,2.486343355048216,0.507,0.144,0,1,IL11RA
0,2.481194844665073,0.386,0.086,0,1,SEPP1
2.9604423e-317,2.4369240153378375,0.337,0.087,6.62517390824e-313,1,GGT5
0,2.4141784405007582,0.315,0.061,0,1,SELM
0,2.349270223421973,0.528,0.157,0,1,SRPX
0,2.2870612419079803,0.874,0.33,0,1,CFH
2.1797713932293775e-204,2.889942978987062,0.283,0.088,4.8781104009080236e-200,2,HBA2
8.318712295488675e-227,2.8018779685380757,0.392,0.157,1.8616446246074105e-222,2,HBB
7.527444740081172e-36,1.9755324935169063,0.348,0.309,1.6845668583827654e-31,2,LHFPL6
5.849622270413215e-74,1.8944903746459645,0.256,0.134,1.3090869678957733e-69,2,PCOLCE2
1.5605239010187697e-17,1.8598959959118928,0.293,0.272,3.4922964380899045e-13,2,IFI6
3.162038615662874e-20,1.8419423289573569,0.272,0.238,7.076326217991946e-16,2,ANGPTL1
4.423873421701523e-12,1.7386931275162159,0.284,0.281,9.900186330425839e-8,2,PAM
9.948487800767487e-27,1.6991295744274721,0.302,0.255,2.2263720849337557e-22,2,GOLIM4
1.1457611906429725e-11,1.604109432175949,0.303,0.309,2.564098968539908e-7,2,FKBP9
2.0374875861630246e-105,1.5060544208775384,0.443,0.285,4.5596934690742326e-101,2,MFAP5
0,1.3883445473855973,0.937,0.58,0,2,CFD
0.0014006892277076855,1.3771387794669765,0.203,0.286,1,2,COX7A1
8.753739874877419e-302,1.3754321109025511,0.787,0.508,1.9589994465988176e-297,2,CXCL14
1.9727941446194746e-232,1.320015832514113,0.696,0.439,4.414916016243922e-228,2,MMP2
1.1106282887713599e-121,1.315704036939131,0.575,0.449,2.485475047441426e-117,2,PLAC9
0,6.897134789604912,0.323,0.02,0,3,KRT15
0,6.838948642480869,0.302,0.003,0,3,TNS4
0,6.690936852108465,0.312,0.002,0,3,PKP3
0,6.68051674405613,0.39,0.003,0,3,KLC3
0,6.624184401655493,0.476,0.008,0,3,LGALS7B
0,6.57483184642567,0.32,0.003,0,3,DSG3
0,6.568031540709074,0.368,0.003,0,3,DSG1
0,6.562358961557604,0.603,0.036,0,3,SERPINB2
0,6.5524973477993305,0.675,0.018,0,3,SERPINB5
0,6.475298183439008,0.571,0.008,0,3,DSC3
0,6.34266615209959,0.289,0.003,0,3,LAD1
0,6.337665120909401,0.281,0.008,0,3,SBSN
0,6.314947058556782,0.751,0.026,0,3,S100A14
0,6.312678773549557,0.739,0.053,0,3,KRT5
0,6.308840737559045,0.901,0.119,0,3,SFN
0,7.86820455597635,0.409,0.004,0,4,CD3E
0,7.523122956707842,0.417,0.006,0,4,TRBC2
0,7.379575201645198,0.278,0.004,0,4,LCK
0,7.244408442418457,0.543,0.008,0,4,CD3D
0,7.105845512862629,0.366,0.006,0,4,TRBC1
0,6.9290421947776775,0.337,0.013,0,4,CCL5
0,6.872362840891143,0.265,0.007,0,4,CTSW
0,6.789584165410609,0.404,0.009,0,4,RHOH
0,6.458998539130411,0.657,0.024,0,4,CD69
0,6.456925494962888,0.461,0.01,0,4,CD2
0,6.3283297942239205,0.428,0.013,0,4,IL7R
0,6.259904819756384,0.408,0.013,0,4,LTB
0,6.1323638136345515,0.576,0.039,0,4,TRAC
0,5.829465922997293,0.792,0.068,0,4,CXCR4
0,5.621992407168575,0.425,0.025,0,4,ACAP1
0,5.042950198645562,0.874,0.026,0,5,PLVAP
0,4.782168132244453,0.615,0.015,0,5,SOX17
0,4.397033025519115,0.254,0.006,0,5,CLEC1A
0,4.379783377792792,0.877,0.073,0,5,ACKR1
0,4.37189729642764,0.452,0.018,0,5,C2CD4B
0,4.2929285346127966,0.296,0.008,0,5,CYTL1
0,4.247266954849131,0.347,0.007,0,5,SELP
0,4.236540226507156,0.44,0.012,0,5,ADM5
0,4.223230507157531,0.714,0.033,0,5,TSPAN7
0,4.072782090546906,0.776,0.033,0,5,ADGRL4
0,4.047496810531792,0.986,0.184,0,5,TM4SF1
0,3.9823255333669545,0.313,0.017,0,5,CD200
0,3.9401199345331217,0.468,0.011,0,5,CCL14
