GSM,condition,reviewed_cell_compartment,cells,ECM_organization_score1,collagen_formation_score1,collagen_biosynthesis_score1,neutrophil_degranulation_score1,innate_immune_system_score1,cell_cycle_mitotic_score1
GSM4729097,normal_skin,T_cell,4,-0.008668720911006848,-0.07431280317383758,-0.08375374580908163,0.05602020207850658,0.06005540907222179,0.030849535323538464
GSM4729097,normal_skin,basal_keratinocyte,98,0.025653560726269856,-0.023102938189564288,-0.06772906430183254,0.07104090403797357,0.06648168130269831,0.030605155396974008
GSM4729097,normal_skin,endothelial_IGF2,112,0.02201750209403259,-0.045330279703525836,-0.06476061625177154,0.052750297718460064,0.0612286856779877,0.012735576638940224
GSM4729097,normal_skin,fibroblast_CXCL14_CFD,1,0.17859777304832228,0.31829741163696146,0.4445576511618148,0.029703682397164276,0.03416366867618386,-0.007909620136167583
GSM4729097,normal_skin,fibroblast_TWIST1,715,0.10744479850168148,0.06009442877561526,0.08208866984871065,0.07436476912888534,0.06411861144685266,0.012205726581140122
GSM4729097,normal_skin,lymphatic_endothelial,7,0.017625318216046806,-0.04004160555916428,-0.071147283944249,0.0749078216641037,0.05708625294738624,0.028202252909800725
GSM4729097,normal_skin,melanocyte,32,0.036172940845503904,0.0038537281823127468,-0.01485560416119347,0.08469888016243106,0.06592435936859792,0.02028789655888236
GSM4729097,normal_skin,myeloid_macrophage,134,0.008929980556378713,-0.04816478484151455,-0.08225223644320412,0.13108361621226305,0.10267894738529616,0.01453037714390266
GSM4729097,normal_skin,vascular_endothelial_PECAM1,3,0.03852843299967995,-0.014773461393720252,-0.0585887661375398,0.040773584939187174,0.06112965580420082,0.005300732899269124
GSM4729098,normal_skin,T_cell,380,-0.01923671851385683,-0.10602917827448567,-0.11771692421419694,0.14116621536874097,0.1252616181138436,0.05503745983651744
GSM4729098,normal_skin,activated_fibroblast_POSTN_ADAM12,1,-0.012223455083194508,-0.05357838709245092,-0.05382724418696713,0.14022248812829893,0.12033704298918169,0.02485948476989333
GSM4729098,normal_skin,basal_keratinocyte,680,-0.016634529451711004,-0.09511683944554833,-0.1306567717137335,0.16197490137535797,0.14016087716445594,0.09085407121758347
GSM4729098,normal_skin,fibroblast_CILP,583,0.2724155856035532,0.22927718175699824,0.27229599952634204,0.24202766573938544,0.19040702932933637,0.04913626324661835
GSM4729098,normal_skin,fibroblast_CXCL12_APOE,858,0.15590045080815904,0.08745415533355128,0.12326785237834834,0.19535427156024981,0.16859124945048756,0.05515589076473413
GSM4729098,normal_skin,fibroblast_CXCL14_CFD,7,0.13911959378301691,0.11581908929298006,0.13734761605468132,0.12684569037650714,0.1147250799117389,0.0338843187284533
GSM4729098,normal_skin,fibroblast_PCOLCE2_IGFBP6,6,0.27139704592716984,0.27792437337969583,0.34798872349105325,0.2006588545900586,0.1679959950735908,0.05846050273789946
GSM4729098,normal_skin,fibroblast_PI16_ELN,1,0.23659514807393214,0.2445302894187159,0.2650196934008383,0.13523740900662906,0.12083754570967611,0.015795944635025524
GSM4729098,normal_skin,lymphatic_endothelial,74,0.020386354517818617,-0.09634742573634834,-0.12693286077038257,0.18261222141761443,0.15059178435412363,0.0621439000630446
GSM4729098,normal_skin,melanocyte,151,0.013356462163918751,-0.08734030911735988,-0.10494378053784652,0.22847015211751948,0.17065058221169163,0.06352012115850193
GSM4729098,normal_skin,myeloid_macrophage,568,-0.00654608034399478,-0.08279993311633102,-0.13056528831268713,0.2441502476793862,0.19042480383955984,0.04209803383431679
GSM4729098,normal_skin,pericyte_smc,320,0.059083436601173205,-0.03497681060848181,-0.031176302107957177,0.13760540265177998,0.12475003768145851,0.06161677094090339
GSM4729098,normal_skin,schwann_like,1,0.08898130736021824,0.09533894545684873,0.11482361161385676,0.18858534438535418,0.17484829790362474,0.06680466141037028
GSM4729098,normal_skin,vascular_endothelial_ACKR1,259,0.01098162611431758,-0.11702026892451374,-0.136648186894597,0.17477754787891053,0.15836033355193171,0.058767970425641435
