gs_name,NGenes,Direction,PValue,FDR,mode,contrast
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,199,Up,3.473585546150239e-20,1.7367927730751194e-18,nonE_restricted,early_wound_vs_normal_skin
HALLMARK_INTERFERON_GAMMA_RESPONSE,199,Up,6.836268649037054e-11,1.3253548059334696e-9,nonE_restricted,early_wound_vs_normal_skin
HALLMARK_ALLOGRAFT_REJECTION,189,Up,7.952128835600816e-11,1.3253548059334696e-9,nonE_restricted,early_wound_vs_normal_skin
HALLMARK_INFLAMMATORY_RESPONSE,194,Up,7.177525465722293e-10,8.971906832152867e-9,nonE_restricted,early_wound_vs_normal_skin
HALLMARK_IL6_JAK_STAT3_SIGNALING,85,Up,9.615316837219717e-10,9.615316837219717e-9,nonE_restricted,early_wound_vs_normal_skin
HALLMARK_COMPLEMENT,192,Up,2.1868499709029967e-8,1.8223749757524974e-7,nonE_restricted,early_wound_vs_normal_skin
HALLMARK_COAGULATION,116,Up,1.762041039482572e-7,1.2586007424875516e-6,nonE_restricted,early_wound_vs_normal_skin
HALLMARK_ANGIOGENESIS,35,Up,2.2941139134486367e-7,1.337421867859138e-6,nonE_restricted,early_wound_vs_normal_skin
HALLMARK_INTERFERON_ALPHA_RESPONSE,97,Up,2.4073593621464487e-7,1.337421867859138e-6,nonE_restricted,early_wound_vs_normal_skin
HALLMARK_TNFA_SIGNALING_VIA_NFKB,199,Up,3.7491066402467947e-6,1.8745533201233973e-5,nonE_restricted,early_wound_vs_normal_skin
HALLMARK_E2F_TARGETS,200,Up,5.4248875218418875e-6,2.4658579644735856e-5,nonE_restricted,early_wound_vs_normal_skin
HALLMARK_MTORC1_SIGNALING,200,Up,1.9567952743410093e-5,8.153313643087539e-5,nonE_restricted,early_wound_vs_normal_skin
HALLMARK_IL2_STAT5_SIGNALING,195,Up,3.607624130302806e-5,1.3875477424241562e-4,nonE_restricted,early_wound_vs_normal_skin
HALLMARK_MYC_TARGETS_V1,199,Up,5.738307263059019e-5,2.049395451092507e-4,nonE_restricted,early_wound_vs_normal_skin
HALLMARK_KRAS_SIGNALING_UP,192,Up,8.084109970208405e-5,2.694703323402802e-4,nonE_restricted,early_wound_vs_normal_skin
HALLMARK_APICAL_JUNCTION,193,Up,4.911968849343083e-4,0.0015349902654197135,nonE_restricted,early_wound_vs_normal_skin
HALLMARK_G2M_CHECKPOINT,199,Up,8.485928795021253e-4,0.0024958614103003686,nonE_restricted,early_wound_vs_normal_skin
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,48,Up,9.407772216556313e-4,0.002613270060154531,nonE_restricted,early_wound_vs_normal_skin
HALLMARK_GLYCOLYSIS,191,Up,0.0021200200224296014,0.005579000059025267,nonE_restricted,early_wound_vs_normal_skin
HALLMARK_APOPTOSIS,159,Up,0.0037405746997223135,0.009351436749305784,nonE_restricted,early_wound_vs_normal_skin
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,111,Up,0.005234168660723426,0.012462306335055776,nonE_restricted,early_wound_vs_normal_skin
HALLMARK_UV_RESPONSE_UP,154,Up,0.006487706357184501,0.014744787175419322,nonE_restricted,early_wound_vs_normal_skin
HALLMARK_HYPOXIA,194,Up,0.013453041119714999,0.029245741564597822,nonE_restricted,early_wound_vs_normal_skin
HALLMARK_OXIDATIVE_PHOSPHORYLATION,200,Up,0.016594179769289962,0.03457120785268742,nonE_restricted,early_wound_vs_normal_skin
HALLMARK_MYC_TARGETS_V2,58,Up,0.017921754269345187,0.03584350853869037,nonE_restricted,early_wound_vs_normal_skin
HALLMARK_ANDROGEN_RESPONSE,99,Up,0.023819979723654516,0.045807653314720226,nonE_restricted,early_wound_vs_normal_skin
HALLMARK_XENOBIOTIC_METABOLISM,182,Up,0.027009396506915893,0.050017400938733136,nonE_restricted,early_wound_vs_normal_skin
HALLMARK_TGF_BETA_SIGNALING,53,Up,0.04293431899954349,0.07666842678489909,nonE_restricted,early_wound_vs_normal_skin
HALLMARK_ADIPOGENESIS,198,Up,0.05043824997066127,0.08578533354252549,nonE_restricted,early_wound_vs_normal_skin
HALLMARK_UV_RESPONSE_DN,143,Up,0.051471200125515294,0.08578533354252549,nonE_restricted,early_wound_vs_normal_skin
HALLMARK_WNT_BETA_CATENIN_SIGNALING,39,Down,0.08575458448721478,0.1383138459471206,nonE_restricted,early_wound_vs_normal_skin
HALLMARK_PANCREAS_BETA_CELLS,26,Up,0.09564527982749492,0.14944574973046082,nonE_restricted,early_wound_vs_normal_skin
HALLMARK_KRAS_SIGNALING_DN,150,Down,0.1050327629264052,0.15914054988849274,nonE_restricted,early_wound_vs_normal_skin
HALLMARK_MYOGENESIS,180,Up,0.12501048903056344,0.18383895445671095,nonE_restricted,early_wound_vs_normal_skin
HALLMARK_HEME_METABOLISM,184,Down,0.1724587664358955,0.2463696663369936,nonE_restricted,early_wound_vs_normal_skin
HALLMARK_DNA_REPAIR,150,Up,0.1895866036464971,0.2598275168400748,nonE_restricted,early_wound_vs_normal_skin
HALLMARK_HEDGEHOG_SIGNALING,33,Up,0.19227236246165536,0.2598275168400748,nonE_restricted,early_wound_vs_normal_skin
HALLMARK_FATTY_ACID_METABOLISM,152,Up,0.26981440056445155,0.3550189481111205,nonE_restricted,early_wound_vs_normal_skin
HALLMARK_NOTCH_SIGNALING,32,Down,0.2780122007602114,0.35642589841052746,nonE_restricted,early_wound_vs_normal_skin
HALLMARK_PI3K_AKT_MTOR_SIGNALING,102,Up,0.2888684767452202,0.3610855959315252,nonE_restricted,early_wound_vs_normal_skin
HALLMARK_BILE_ACID_METABOLISM,97,Down,0.39275340757428323,0.4789675702125405,nonE_restricted,early_wound_vs_normal_skin
HALLMARK_ESTROGEN_RESPONSE_EARLY,197,Down,0.44725161142268877,0.53244239455082,nonE_restricted,early_wound_vs_normal_skin
HALLMARK_P53_PATHWAY,200,Down,0.5189228229842633,0.5973612365513457,nonE_restricted,early_wound_vs_normal_skin
HALLMARK_CHOLESTEROL_HOMEOSTASIS,73,Up,0.5256778881651841,0.5973612365513457,nonE_restricted,early_wound_vs_normal_skin
HALLMARK_PEROXISOME,97,Down,0.6631580724048949,0.7368423026721055,nonE_restricted,early_wound_vs_normal_skin
HALLMARK_SPERMATOGENESIS,103,Up,0.7322408955328146,0.7789918451267889,nonE_restricted,early_wound_vs_normal_skin
HALLMARK_MITOTIC_SPINDLE,199,Up,0.7322523344191816,0.7789918451267889,nonE_restricted,early_wound_vs_normal_skin
