gs_name,NGenes,Direction,PValue,FDR,mode,contrast
REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS,96,Up,1.797057498560715e-11,3.302991682354594e-8,nonE_restricted,early_wound_vs_normal_skin
REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION,299,Up,9.583436673113818e-11,8.807178302591598e-8,nonE_restricted,early_wound_vs_normal_skin
REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL,177,Up,6.620233619655554e-9,4.00893279504228e-6,nonE_restricted,early_wound_vs_normal_skin
REACTOME_CELL_EXTRACELLULAR_MATRIX_INTERACTIONS,18,Up,8.72455450498864e-9,4.00893279504228e-6,nonE_restricted,early_wound_vs_normal_skin
REACTOME_SCAVENGING_BY_CLASS_A_RECEPTORS,17,Up,1.7399298655280608e-8,5.573438630274989e-6,nonE_restricted,early_wound_vs_normal_skin
REACTOME_INTERLEUKIN_10_SIGNALING,44,Up,2.072031184533504e-8,5.573438630274989e-6,nonE_restricted,early_wound_vs_normal_skin
REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS,82,Up,2.122637127961095e-8,5.573438630274989e-6,nonE_restricted,early_wound_vs_normal_skin
REACTOME_NEUTROPHIL_DEGRANULATION,466,Up,3.7382930925205924e-08,8.588728380066061e-6,nonE_restricted,early_wound_vs_normal_skin
REACTOME_COLLAGEN_FORMATION,88,Up,5.0662797833500736e-8,1.0346469157552706e-5,nonE_restricted,early_wound_vs_normal_skin
REACTOME_SMOOTH_MUSCLE_CONTRACTION,39,Up,8.431082015192276e-8,1.5496328743923406e-5,nonE_restricted,early_wound_vs_normal_skin
REACTOME_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2,119,Up,9.554303443312686e-8,1.59643724807352e-5,nonE_restricted,early_wound_vs_normal_skin
REACTOME_MATURATION_OF_DENV_PROTEINS,50,Up,2.628114377529533e-7,3.971208971885282e-5,nonE_restricted,early_wound_vs_normal_skin
REACTOME_ELASTIC_FIBRE_FORMATION,43,Up,2.8087985111266957e-7,3.971208971885282e-5,nonE_restricted,early_wound_vs_normal_skin
