gs_name,NGenes,Direction,PValue,FDR,mode,contrast
HALLMARK_TNFA_SIGNALING_VIA_NFKB,199,Down,2.506819945110853e-15,1.2534099725554266e-13,nonE_restricted,hypertrophic_scar_vs_late_wound
HALLMARK_ALLOGRAFT_REJECTION,189,Down,1.8270300170263513e-14,2.4321740540633486e-13,nonE_restricted,hypertrophic_scar_vs_late_wound
HALLMARK_E2F_TARGETS,200,Down,1.883893581317954e-14,2.4321740540633486e-13,nonE_restricted,hypertrophic_scar_vs_late_wound
HALLMARK_IL6_JAK_STAT3_SIGNALING,85,Down,1.945739243250679e-14,2.4321740540633486e-13,nonE_restricted,hypertrophic_scar_vs_late_wound
HALLMARK_INFLAMMATORY_RESPONSE,194,Down,2.358531705169316e-13,2.358531705169316e-12,nonE_restricted,hypertrophic_scar_vs_late_wound
HALLMARK_INTERFERON_GAMMA_RESPONSE,199,Down,3.5167180766437736e-12,2.930598397203145e-11,nonE_restricted,hypertrophic_scar_vs_late_wound
HALLMARK_G2M_CHECKPOINT,199,Down,2.228367762164162e-11,1.5916912586886872e-10,nonE_restricted,hypertrophic_scar_vs_late_wound
HALLMARK_COMPLEMENT,192,Down,8.3325769082657e-9,5.2078605676660624e-8,nonE_restricted,hypertrophic_scar_vs_late_wound
HALLMARK_MYC_TARGETS_V1,199,Down,5.559994692333163e-7,3.0888859401850907e-6,nonE_restricted,hypertrophic_scar_vs_late_wound
HALLMARK_INTERFERON_ALPHA_RESPONSE,97,Down,4.104161939471695e-6,2.0520809697358478e-5,nonE_restricted,hypertrophic_scar_vs_late_wound
HALLMARK_IL2_STAT5_SIGNALING,195,Down,2.3467601686879506e-5,1.0667091675854322e-4,nonE_restricted,hypertrophic_scar_vs_late_wound
HALLMARK_MTORC1_SIGNALING,200,Down,4.9857438863035506e-5,2.077393285959813e-4,nonE_restricted,hypertrophic_scar_vs_late_wound
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,48,Down,6.146219176351063e-5,2.3639304524427165e-4,nonE_restricted,hypertrophic_scar_vs_late_wound
HALLMARK_APOPTOSIS,159,Down,3.910828981430814e-4,0.0013967246362252908,nonE_restricted,hypertrophic_scar_vs_late_wound
HALLMARK_UV_RESPONSE_UP,154,Down,4.3349727552889037e-4,0.0014449909184296346,nonE_restricted,hypertrophic_scar_vs_late_wound
HALLMARK_MYC_TARGETS_V2,58,Down,0.001000400667548621,0.0031262520860894406,nonE_restricted,hypertrophic_scar_vs_late_wound
HALLMARK_OXIDATIVE_PHOSPHORYLATION,200,Down,0.0015127865127433165,0.004449372096303872,nonE_restricted,hypertrophic_scar_vs_late_wound
HALLMARK_DNA_REPAIR,150,Down,0.010268830905448391,0.028524530292912197,nonE_restricted,hypertrophic_scar_vs_late_wound
HALLMARK_GLYCOLYSIS,191,Down,0.014159132623661239,0.03726087532542431,nonE_restricted,hypertrophic_scar_vs_late_wound
HALLMARK_ADIPOGENESIS,198,Down,0.015617604186325204,0.03904401046581301,nonE_restricted,hypertrophic_scar_vs_late_wound
HALLMARK_HYPOXIA,194,Down,0.016635992928101976,0.03955377347865654,nonE_restricted,hypertrophic_scar_vs_late_wound
HALLMARK_XENOBIOTIC_METABOLISM,182,Down,0.017403660330608875,0.03955377347865654,nonE_restricted,hypertrophic_scar_vs_late_wound
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,111,Down,0.0186321933440058,0.04050476813914304,nonE_restricted,hypertrophic_scar_vs_late_wound
HALLMARK_KRAS_SIGNALING_UP,192,Down,0.02293403194319,0.04777923321497917,nonE_restricted,hypertrophic_scar_vs_late_wound
HALLMARK_UV_RESPONSE_DN,143,Up,0.024090503496269688,0.048181006992539376,nonE_restricted,hypertrophic_scar_vs_late_wound
HALLMARK_COAGULATION,116,Down,0.030744398596051086,0.0591238434539444,nonE_restricted,hypertrophic_scar_vs_late_wound
HALLMARK_ANGIOGENESIS,35,Down,0.03294024494428478,0.061000453600527374,nonE_restricted,hypertrophic_scar_vs_late_wound
HALLMARK_MITOTIC_SPINDLE,199,Down,0.053227082530548114,0.09504836166169307,nonE_restricted,hypertrophic_scar_vs_late_wound
