gs_name,NGenes,Direction,PValue,FDR,mode,contrast
REACTOME_INTERLEUKIN_10_SIGNALING,44,Down,4.252682974066102e-15,7.816431306333496e-12,nonE_restricted,hypertrophic_scar_vs_late_wound
REACTOME_NEUTROPHIL_DEGRANULATION,466,Down,4.957316681492266e-11,4.5557740302913924e-8,nonE_restricted,hypertrophic_scar_vs_late_wound
REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL,177,Down,4.852832144146696e-9,2.973168493647209e-6,nonE_restricted,hypertrophic_scar_vs_late_wound
REACTOME_DISEASES_OF_IMMUNE_SYSTEM,29,Down,1.3788336975880956e-8,6.335740840417299e-6,nonE_restricted,hypertrophic_scar_vs_late_wound
REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION,95,Down,2.697910426516544e-8,7.830356132826894e-6,nonE_restricted,hypertrophic_scar_vs_late_wound
REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES,54,Down,2.833796484918373e-8,7.830356132826894e-6,nonE_restricted,hypertrophic_scar_vs_late_wound
REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING,102,Down,2.982181334591309e-8,7.830356132826894e-6,nonE_restricted,hypertrophic_scar_vs_late_wound
REACTOME_INNATE_IMMUNE_SYSTEM,1006,Down,4.668373388086268e-8,1.0491680080813274e-5,nonE_restricted,hypertrophic_scar_vs_late_wound
REACTOME_SIGNALING_BY_INTERLEUKINS,419,Down,5.137384152737729e-8,1.0491680080813274e-5,nonE_restricted,hypertrophic_scar_vs_late_wound
REACTOME_INTERLEUKIN_12_FAMILY_SIGNALING,51,Down,7.858969950647185e-8,1.4444786769289527e-5,nonE_restricted,hypertrophic_scar_vs_late_wound
REACTOME_GENE_AND_PROTEIN_EXPRESSION_BY_JAK_STAT_SIGNALING_AFTER_INTERLEUKIN_12_STIMULATION,34,Down,9.20680347297553e-8,1.5383731621208205e-5,nonE_restricted,hypertrophic_scar_vs_late_wound
REACTOME_INTERLEUKIN_12_SIGNALING,42,Down,2.3084711158244702e-7,3.535808259071147e-5,nonE_restricted,hypertrophic_scar_vs_late_wound
REACTOME_INTERLEUKIN_2_FAMILY_SIGNALING,39,Down,2.6218672661634477e-7,3.706204766045009e-5,nonE_restricted,hypertrophic_scar_vs_late_wound
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,719,Down,2.8230068947024007e-7,3.706204766045009e-5,nonE_restricted,hypertrophic_scar_vs_late_wound
REACTOME_DNA_STRAND_ELONGATION,32,Down,3.0761236335145735e-7,3.7692768255998576e-5,nonE_restricted,hypertrophic_scar_vs_late_wound
REACTOME_MELANIN_BIOSYNTHESIS,5,Up,9.891031875039943e-7,1.1362322866452135e-4,nonE_restricted,hypertrophic_scar_vs_late_wound
REACTOME_G1_S_SPECIFIC_TRANSCRIPTION,29,Down,1.201212106147296e-6,1.298722265352194e-4,nonE_restricted,hypertrophic_scar_vs_late_wound
REACTOME_FORMATION_OF_THE_CORNIFIED_ENVELOPE,120,Up,1.3794087972355937e-6,1.4085296496216786e-4,nonE_restricted,hypertrophic_scar_vs_late_wound
REACTOME_TRAFFICKING_AND_PROCESSING_OF_ENDOSOMAL_TLR,13,Down,1.6448683181908337e-6,1.5911936678077645e-4,nonE_restricted,hypertrophic_scar_vs_late_wound
REACTOME_IRAK4_DEFICIENCY_TLR2_4,15,Down,1.9534909417115366e-6,1.7646579354907115e-4,nonE_restricted,hypertrophic_scar_vs_late_wound
REACTOME_PHOSPHORYLATION_OF_CD3_AND_TCR_ZETA_CHAINS,24,Down,2.1341972244884914e-6,1.7646579354907115e-4,nonE_restricted,hypertrophic_scar_vs_late_wound
REACTOME_UNWINDING_OF_DNA,12,Down,2.1771003471843973e-6,1.7646579354907115e-4,nonE_restricted,hypertrophic_scar_vs_late_wound
REACTOME_DNA_REPLICATION,149,Down,2.2082226613866356e-6,1.7646579354907115e-4,nonE_restricted,hypertrophic_scar_vs_late_wound
REACTOME_DEFECTIVE_CHST6_CAUSES_MCDC1,8,Up,3.0340696039760706e-6,2.3235916383783405e-4,nonE_restricted,hypertrophic_scar_vs_late_wound
REACTOME_NUCLEAR_EVENTS_STIMULATED_BY_ALK_SIGNALING_IN_CANCER,35,Down,6.856041159816577e-6,4.865678934496861e-4,nonE_restricted,hypertrophic_scar_vs_late_wound
REACTOME_CHROMOSOME_MAINTENANCE,113,Down,6.9094922963496074e-6,4.865678934496861e-4,nonE_restricted,hypertrophic_scar_vs_late_wound
REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES,36,Down,7.147624114875694e-6,4.865678934496861e-4,nonE_restricted,hypertrophic_scar_vs_late_wound
REACTOME_G2_M_CHECKPOINTS,136,Down,8.610933519135624e-6,5.652462788632598e-4,nonE_restricted,hypertrophic_scar_vs_late_wound
REACTOME_MITOTIC_G1_PHASE_AND_G1_S_TRANSITION,138,Down,9.07353719181299e-6,5.750745296052509e-4,nonE_restricted,hypertrophic_scar_vs_late_wound
REACTOME_CELL_CYCLE_MITOTIC,510,Down,9.509835009927413e-6,5.826358916082195e-4,nonE_restricted,hypertrophic_scar_vs_late_wound
REACTOME_TOLL_LIKE_RECEPTOR_CASCADES,164,Down,1.1814664299558244e-5,7.004952575028404e-4,nonE_restricted,hypertrophic_scar_vs_late_wound
REACTOME_DEPOSITION_OF_NEW_CENPA_CONTAINING_NUCLEOSOMES_AT_THE_CENTROMERE,49,Down,1.398156616774145e-5,8.030662067596495e-4,nonE_restricted,hypertrophic_scar_vs_late_wound
REACTOME_MEIOTIC_RECOMBINATION,48,Down,1.5097985459562881e-5,8.286808782194392e-4,nonE_restricted,hypertrophic_scar_vs_late_wound
REACTOME_SYNTHESIS_OF_DNA,108,Down,1.532924366673609e-5,8.286808782194392e-4,nonE_restricted,hypertrophic_scar_vs_late_wound
REACTOME_REGULATION_OF_TLR_BY_ENDOGENOUS_LIGAND,17,Down,1.6501514745477098e-5,8.66565260062483e-4,nonE_restricted,hypertrophic_scar_vs_late_wound
REACTOME_CELL_CYCLE_CHECKPOINTS,268,Down,1.727824284305506e-5,8.821502873759778e-4,nonE_restricted,hypertrophic_scar_vs_late_wound
REACTOME_CYCLIN_A_B1_B2_ASSOCIATED_EVENTS_DURING_G2_M_TRANSITION,32,Down,1.870892506989011e-5,9.29378494012379e-4,nonE_restricted,hypertrophic_scar_vs_late_wound
REACTOME_HOMOLOGY_DIRECTED_REPAIR,120,Down,2.3126628600646828e-5,0.0011185985096839176,nonE_restricted,hypertrophic_scar_vs_late_wound
REACTOME_ACTIVATION_OF_THE_PRE_REPLICATIVE_COMPLEX,32,Down,2.412498909741589e-5,0.0011369674348987284,nonE_restricted,hypertrophic_scar_vs_late_wound
REACTOME_DNA_DOUBLE_STRAND_BREAK_REPAIR,150,Down,3.0326279605073595e-5,0.0013934925478531319,nonE_restricted,hypertrophic_scar_vs_late_wound
REACTOME_CELL_CYCLE,637,Down,3.354212716178836e-5,0.0015036690176430977,nonE_restricted,hypertrophic_scar_vs_late_wound
REACTOME_INTERFERON_ALPHA_BETA_SIGNALING,64,Down,4.157594644443856e-5,0.001789415370516426,nonE_restricted,hypertrophic_scar_vs_late_wound
REACTOME_INACTIVATION_OF_CSF3_G_CSF_SIGNALING,25,Down,4.1863362857566004e-5,0.001789415370516426,nonE_restricted,hypertrophic_scar_vs_late_wound
REACTOME_REGULATED_NECROSIS,59,Down,4.850242029732999e-5,0.0019703326826162144,nonE_restricted,hypertrophic_scar_vs_late_wound
REACTOME_INTERLEUKIN_3_INTERLEUKIN_5_AND_GM_CSF_SIGNALING,45,Down,5.000893289778622e-5,0.0019703326826162144,nonE_restricted,hypertrophic_scar_vs_late_wound
REACTOME_SIGNALING_BY_CSF3_G_CSF,30,Down,5.0092323486170374e-5,0.0019703326826162144,nonE_restricted,hypertrophic_scar_vs_late_wound
REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS,37,Down,5.038391517027316e-5,0.0019703326826162144,nonE_restricted,hypertrophic_scar_vs_late_wound
REACTOME_TCR_SIGNALING,108,Down,5.3826284933225366e-5,0.002061098160568088,nonE_restricted,hypertrophic_scar_vs_late_wound
REACTOME_DEFECTIVE_ST3GAL3_CAUSES_MCT12_AND_EIEE15,8,Up,5.512401355913695e-5,0.0020677129984019126,nonE_restricted,hypertrophic_scar_vs_late_wound
REACTOME_DNA_REPLICATION_PRE_INITIATION,114,Down,5.712974950318313e-5,0.0021000895917370117,nonE_restricted,hypertrophic_scar_vs_late_wound
REACTOME_MITOCHONDRIAL_TRANSLATION_ELONGATION,90,Down,6.967297106606193e-5,0.002510959231753369,nonE_restricted,hypertrophic_scar_vs_late_wound
REACTOME_KERATINIZATION,144,Up,7.787578916319311e-5,0.002651194158655292,nonE_restricted,hypertrophic_scar_vs_late_wound
REACTOME_RHO_GTPASE_EFFECTORS,281,Down,7.802140095945736e-5,0.002651194158655292,nonE_restricted,hypertrophic_scar_vs_late_wound
REACTOME_PHOSPHORYLATION_OF_EMI1,6,Down,7.834956615996059e-5,0.002651194158655292,nonE_restricted,hypertrophic_scar_vs_late_wound
REACTOME_G0_AND_EARLY_G1,27,Down,7.933388396411373e-5,0.002651194158655292,nonE_restricted,hypertrophic_scar_vs_late_wound
REACTOME_INTERLEUKIN_2_SIGNALING,11,Down,8.163044801213086e-5,0.002679227918683866,nonE_restricted,hypertrophic_scar_vs_late_wound
REACTOME_INTERLEUKIN_RECEPTOR_SHC_SIGNALING,24,Down,8.610305786461638e-5,0.0027764459711432437,nonE_restricted,hypertrophic_scar_vs_late_wound
REACTOME_CD28_DEPENDENT_VAV1_PATHWAY,12,Down,9.226820346523045e-5,0.0029239475511912685,nonE_restricted,hypertrophic_scar_vs_late_wound
REACTOME_INTERFERON_GAMMA_SIGNALING,92,Down,9.545001453413415e-5,0.0029735106222667554,nonE_restricted,hypertrophic_scar_vs_late_wound
REACTOME_CASPASE_ACTIVATION_VIA_DEATH_RECEPTORS_IN_THE_PRESENCE_OF_LIGAND,15,Down,1.0912106817701417e-4,0.0033427420551558674,nonE_restricted,hypertrophic_scar_vs_late_wound
REACTOME_MRNA_POLYADENYLATION,126,Down,1.119596627929486e-4,0.0033734731182531066,nonE_restricted,hypertrophic_scar_vs_late_wound
REACTOME_TELOMERE_MAINTENANCE,86,Down,1.3924422109739176e-4,0.004127917393177517,nonE_restricted,hypertrophic_scar_vs_late_wound
REACTOME_CONDENSATION_OF_PROPHASE_CHROMOSOMES,38,Down,1.4784855654207497e-4,0.004313422967052918,nonE_restricted,hypertrophic_scar_vs_late_wound
REACTOME_DETOXIFICATION_OF_REACTIVE_OXYGEN_SPECIES,34,Down,1.5363339404305228e-4,0.004412159035173908,nonE_restricted,hypertrophic_scar_vs_late_wound
REACTOME_INFLAMMASOMES,21,Down,1.569161806043415e-4,0.004415238609936036,nonE_restricted,hypertrophic_scar_vs_late_wound
REACTOME_GLI_PROTEINS_BIND_PROMOTERS_OF_HH_RESPONSIVE_GENES_TO_PROMOTE_TRANSCRIPTION,6,Up,1.585450208138076e-4,0.004415238609936036,nonE_restricted,hypertrophic_scar_vs_late_wound
REACTOME_PURINERGIC_SIGNALING_IN_LEISHMANIASIS_INFECTION,26,Down,1.6110299125299856e-4,0.004418730282181082,nonE_restricted,hypertrophic_scar_vs_late_wound
REACTOME_ROS_AND_RNS_PRODUCTION_IN_PHAGOCYTES,34,Down,1.6347859585871252e-4,0.004418730282181082,nonE_restricted,hypertrophic_scar_vs_late_wound
REACTOME_DAP12_INTERACTIONS,37,Down,1.6825499706451014e-4,0.004441789265307092,nonE_restricted,hypertrophic_scar_vs_late_wound
REACTOME_NUCLEOTIDE_BINDING_DOMAIN_LEUCINE_RICH_REPEAT_CONTAINING_RECEPTOR_NLR_SIGNALING_PATHWAYS,56,Down,1.6916498834140177e-4,0.004441789265307092,nonE_restricted,hypertrophic_scar_vs_late_wound
REACTOME_MITOTIC_PROMETAPHASE,198,Down,1.7172438876167967e-4,0.004445484880900947,nonE_restricted,hypertrophic_scar_vs_late_wound
REACTOME_S_PHASE,150,Down,1.8898382002848217e-4,0.004769146613145424,nonE_restricted,hypertrophic_scar_vs_late_wound
REACTOME_POLO_LIKE_KINASE_MEDIATED_EVENTS,16,Down,1.8941659562547115e-4,0.004769146613145424,nonE_restricted,hypertrophic_scar_vs_late_wound
REACTOME_G2_M_DNA_REPLICATION_CHECKPOINT,7,Down,1.9302785286374343e-4,0.004774310389156543,nonE_restricted,hypertrophic_scar_vs_late_wound
REACTOME_CHK1_CHK2_CDS1_MEDIATED_INACTIVATION_OF_CYCLIN_B_CDK1_COMPLEX,15,Down,1.9739318426295513e-4,0.004774310389156543,nonE_restricted,hypertrophic_scar_vs_late_wound
REACTOME_DEFECTIVE_B4GALT1_CAUSES_B4GALT1_CDG_CDG_2D,8,Up,1.980952832915787e-4,0.004774310389156543,nonE_restricted,hypertrophic_scar_vs_late_wound
REACTOME_THE_ROLE_OF_NEF_IN_HIV_1_REPLICATION_AND_DISEASE_PATHOGENESIS,28,Down,2.0001191510612287e-4,0.004774310389156543,nonE_restricted,hypertrophic_scar_vs_late_wound
REACTOME_TNF_RECEPTOR_SUPERFAMILY_TNFSF_MEMBERS_MEDIATING_NON_CANONICAL_NF_KB_PATHWAY,17,Down,2.030574862255871e-4,0.004784867431828578,nonE_restricted,hypertrophic_scar_vs_late_wound
REACTOME_APC_C_MEDIATED_DEGRADATION_OF_CELL_CYCLE_PROTEINS,75,Down,2.0628387875027586e-4,0.004799364166367177,nonE_restricted,hypertrophic_scar_vs_late_wound
REACTOME_MITOTIC_SPINDLE_CHECKPOINT,110,Down,2.1550565918344248e-4,0.0049512425197395914,nonE_restricted,hypertrophic_scar_vs_late_wound
REACTOME_NON_CANONICAL_INFLAMMASOME_ACTIVATION,14,Down,2.4240484267520248e-4,0.00547420858065772,nonE_restricted,hypertrophic_scar_vs_late_wound
REACTOME_MRNA_3_END_PROCESSING,150,Down,2.4422475713489284e-4,0.00547420858065772,nonE_restricted,hypertrophic_scar_vs_late_wound
REACTOME_INTERFERON_SIGNALING,263,Down,2.475381132454806e-4,0.005481627134279438,nonE_restricted,hypertrophic_scar_vs_late_wound
REACTOME_M_PHASE,363,Down,2.763368045745807e-4,0.006046512462000944,nonE_restricted,hypertrophic_scar_vs_late_wound
REACTOME_REGULATION_OF_IFNG_SIGNALING,13,Down,2.852536699574503e-4,0.00616819112213875,nonE_restricted,hypertrophic_scar_vs_late_wound
REACTOME_TNFR2_NON_CANONICAL_NF_KB_PATHWAY,86,Down,2.991820342198237e-4,0.0063941462662329765,nonE_restricted,hypertrophic_scar_vs_late_wound
REACTOME_PROCESSING_OF_DNA_DOUBLE_STRAND_BREAK_ENDS,77,Down,3.098792560517455e-4,0.0065466445129092905,nonE_restricted,hypertrophic_scar_vs_late_wound
REACTOME_RESOLUTION_OF_SISTER_CHROMATID_COHESION,122,Down,3.1396366150860874e-4,0.006557559202872988,nonE_restricted,hypertrophic_scar_vs_late_wound
REACTOME_CASPASE_ACTIVATION_VIA_EXTRINSIC_APOPTOTIC_SIGNALLING_PATHWAY,24,Down,3.331579910470673e-4,0.006880274017354041,nonE_restricted,hypertrophic_scar_vs_late_wound
REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE,218,Down,3.495589481912e-4,0.007138770519726951,nonE_restricted,hypertrophic_scar_vs_late_wound
REACTOME_CD163_MEDIATING_AN_ANTI_INFLAMMATORY_RESPONSE,9,Down,3.767683946168653e-4,0.007609893508854928,nonE_restricted,hypertrophic_scar_vs_late_wound
REACTOME_DISEASES_OF_PROGRAMMED_CELL_DEATH,70,Down,4.113351472637796e-4,0.00812660177619039,nonE_restricted,hypertrophic_scar_vs_late_wound
REACTOME_INTERLEUKIN_15_SIGNALING,14,Down,4.1313214850446684e-4,0.00812660177619039,nonE_restricted,hypertrophic_scar_vs_late_wound
REACTOME_RELEASE_OF_APOPTOTIC_FACTORS_FROM_THE_MITOCHONDRIA,7,Down,4.156151071609884e-4,0.00812660177619039,nonE_restricted,hypertrophic_scar_vs_late_wound
REACTOME_ANTIGEN_PROCESSING_UB_ATP_INDEPENDENT_PROTEASOMAL_DEGRADATION,19,Down,4.2841085463226833e-4,0.008288622640148518,nonE_restricted,hypertrophic_scar_vs_late_wound
REACTOME_PROCESSIVE_SYNTHESIS_ON_THE_LAGGING_STRAND,15,Down,4.396457249606727e-4,0.008417383775809546,nonE_restricted,hypertrophic_scar_vs_late_wound
REACTOME_THE_NLRP3_INFLAMMASOME,16,Down,4.6241891316760217e-4,0.008723620276984105,nonE_restricted,hypertrophic_scar_vs_late_wound
REACTOME_G2_M_DNA_DAMAGE_CHECKPOINT,76,Down,4.7029558467889056e-4,0.008723620276984105,nonE_restricted,hypertrophic_scar_vs_late_wound
REACTOME_DEFECTIVE_PYROPTOSIS,38,Down,4.7218769948493677e-4,0.008723620276984105,nonE_restricted,hypertrophic_scar_vs_late_wound
REACTOME_ADAPTIVE_IMMUNE_SYSTEM,894,Down,4.7462569515691543e-4,0.008723620276984105,nonE_restricted,hypertrophic_scar_vs_late_wound
REACTOME_HOST_INTERACTIONS_OF_HIV_FACTORS,118,Down,4.928686772081183e-4,0.008911778278965382,nonE_restricted,hypertrophic_scar_vs_late_wound
REACTOME_EXTENSION_OF_TELOMERES,49,Down,4.945600568305055e-4,0.008911778278965382,nonE_restricted,hypertrophic_scar_vs_late_wound
REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL,174,Down,5.01459259366398e-4,0.008948370084615919,nonE_restricted,hypertrophic_scar_vs_late_wound
REACTOME_NEGATIVE_REGULATION_OF_FLT3,15,Down,5.326902123998076e-4,0.009257768415498838,nonE_restricted,hypertrophic_scar_vs_late_wound
REACTOME_NUCLEOTIDE_SALVAGE,21,Down,5.333846950270612e-4,0.009257768415498838,nonE_restricted,hypertrophic_scar_vs_late_wound
REACTOME_RHO_GTPASES_ACTIVATE_FORMINS,135,Down,5.339082981734913e-4,0.009257768415498838,nonE_restricted,hypertrophic_scar_vs_late_wound
REACTOME_MITOTIC_G2_G2_M_PHASES,188,Down,5.503112090856008e-4,0.009430896968901991,nonE_restricted,hypertrophic_scar_vs_late_wound
REACTOME_SIGNAL_REGULATORY_PROTEIN_FAMILY_INTERACTIONS,14,Down,5.541549905557208e-4,0.009430896968901991,nonE_restricted,hypertrophic_scar_vs_late_wound
REACTOME_DNA_METHYLATION,29,Down,5.647351994721765e-4,0.00950386147299017,nonE_restricted,hypertrophic_scar_vs_late_wound
REACTOME_ENDOSOMAL_VACUOLAR_PATHWAY,11,Down,5.721071583324028e-4,0.00950386147299017,nonE_restricted,hypertrophic_scar_vs_late_wound
REACTOME_SENESCENCE_ASSOCIATED_SECRETORY_PHENOTYPE_SASP,77,Down,5.739546373786229e-4,0.00950386147299017,nonE_restricted,hypertrophic_scar_vs_late_wound
REACTOME_MATURATION_OF_DENV_PROTEINS,50,Down,6.043059504016695e-4,0.009917092293198827,nonE_restricted,hypertrophic_scar_vs_late_wound
REACTOME_INTERLEUKIN_23_SIGNALING,7,Down,6.119760719447517e-4,0.009954088674641181,nonE_restricted,hypertrophic_scar_vs_late_wound
REACTOME_LEISHMANIA_INFECTION,210,Down,6.42403257673983e-4,0.010357343750919129,nonE_restricted,hypertrophic_scar_vs_late_wound
REACTOME_DIFFERENTIATION_OF_NAIVE_CD_T_CELLS_TO_T_HELPER_1_CELLS_TH1_CELLS,11,Down,7.045087444804218e-4,0.011259887585695785,nonE_restricted,hypertrophic_scar_vs_late_wound
REACTOME_TRANSCRIPTIONAL_REGULATION_OF_GRANULOPOIESIS,55,Down,7.246336425227231e-4,0.01148169512893763,nonE_restricted,hypertrophic_scar_vs_late_wound
REACTOME_DENGUE_VIRUS_INFECTION,352,Down,7.356419543438999e-4,0.011556494975077675,nonE_restricted,hypertrophic_scar_vs_late_wound
REACTOME_STAT3_NUCLEAR_EVENTS_DOWNSTREAM_OF_ALK_SIGNALING,11,Down,7.429150993565972e-4,0.011571847056079878,nonE_restricted,hypertrophic_scar_vs_late_wound
REACTOME_ACTIVATION_OF_APC_C_AND_APC_C_CDC20_MEDIATED_DEGRADATION_OF_MITOTIC_PROTEINS,64,Down,7.570039621680449e-4,0.011638676528557582,nonE_restricted,hypertrophic_scar_vs_late_wound
REACTOME_REGULATION_OF_T_CELL_ACTIVATION_BY_CD28_FAMILY,233,Down,7.598700671528346e-4,0.011638676528557582,nonE_restricted,hypertrophic_scar_vs_late_wound
REACTOME_MITOCHONDRIAL_TRANSLATION,115,Down,7.810644118117471e-4,0.011864432966198274,nonE_restricted,hypertrophic_scar_vs_late_wound
REACTOME_CROSS_PRESENTATION_OF_PARTICULATE_EXOGENOUS_ANTIGENS_PHAGOSOMES,8,Down,8.40577956222575e-4,0.012663789209320432,nonE_restricted,hypertrophic_scar_vs_late_wound
REACTOME_PYROPTOSIS,27,Down,8.945967256754888e-4,0.013368038876354052,nonE_restricted,hypertrophic_scar_vs_late_wound
