gs_name,NGenes,Direction,PValue,FDR,mode,contrast
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,199,Up,2.848934948159971e-36,1.4244674740799855e-34,nonE_restricted,hypertrophic_scar_vs_normal_skin
HALLMARK_COAGULATION,116,Up,1.529662742516474e-9,3.8241568562911846e-8,nonE_restricted,hypertrophic_scar_vs_normal_skin
HALLMARK_ANGIOGENESIS,35,Up,6.29322221407962e-9,1.0488703690132701e-7,nonE_restricted,hypertrophic_scar_vs_normal_skin
HALLMARK_UV_RESPONSE_DN,143,Up,2.6381180896797724e-6,3.297647612099715e-5,nonE_restricted,hypertrophic_scar_vs_normal_skin
HALLMARK_APICAL_JUNCTION,193,Up,1.639897746470442e-5,1.639897746470442e-4,nonE_restricted,hypertrophic_scar_vs_normal_skin
HALLMARK_KRAS_SIGNALING_UP,192,Up,1.5851856961875493e-4,0.0013209880801562913,nonE_restricted,hypertrophic_scar_vs_normal_skin
HALLMARK_COMPLEMENT,192,Up,0.0011012307607506549,0.00786593400536182,nonE_restricted,hypertrophic_scar_vs_normal_skin
HALLMARK_MYOGENESIS,180,Up,0.0020233848233072722,0.01264615514567045,nonE_restricted,hypertrophic_scar_vs_normal_skin
HALLMARK_HEDGEHOG_SIGNALING,33,Up,0.0034720827623004463,0.019289348679446924,nonE_restricted,hypertrophic_scar_vs_normal_skin
HALLMARK_INTERFERON_GAMMA_RESPONSE,199,Up,0.004634084512136722,0.02103710909297158,nonE_restricted,hypertrophic_scar_vs_normal_skin
HALLMARK_ALLOGRAFT_REJECTION,189,Up,0.005039657963043117,0.02103710909297158,nonE_restricted,hypertrophic_scar_vs_normal_skin
HALLMARK_INTERFERON_ALPHA_RESPONSE,97,Up,0.005048906182313179,0.02103710909297158,nonE_restricted,hypertrophic_scar_vs_normal_skin
HALLMARK_INFLAMMATORY_RESPONSE,194,Up,0.005526830214385576,0.02125703928609837,nonE_restricted,hypertrophic_scar_vs_normal_skin
HALLMARK_PANCREAS_BETA_CELLS,26,Up,0.007967529947048222,0.028455464096600793,nonE_restricted,hypertrophic_scar_vs_normal_skin
HALLMARK_IL2_STAT5_SIGNALING,195,Up,0.010380723421735884,0.03460241140578628,nonE_restricted,hypertrophic_scar_vs_normal_skin
HALLMARK_G2M_CHECKPOINT,199,Down,0.015379570673042929,0.04806115835325915,nonE_restricted,hypertrophic_scar_vs_normal_skin
HALLMARK_IL6_JAK_STAT3_SIGNALING,85,Up,0.02599383987990555,0.07645247023501632,nonE_restricted,hypertrophic_scar_vs_normal_skin
HALLMARK_P53_PATHWAY,200,Down,0.028310448824396404,0.07850755844263362,nonE_restricted,hypertrophic_scar_vs_normal_skin
HALLMARK_E2F_TARGETS,200,Down,0.029832872208200772,0.07850755844263362,nonE_restricted,hypertrophic_scar_vs_normal_skin
HALLMARK_TGF_BETA_SIGNALING,53,Up,0.03204033838268006,0.08010084595670015,nonE_restricted,hypertrophic_scar_vs_normal_skin
HALLMARK_GLYCOLYSIS,191,Up,0.06201728163666573,0.14766019437301364,nonE_restricted,hypertrophic_scar_vs_normal_skin
HALLMARK_ANDROGEN_RESPONSE,99,Up,0.0843646062909956,0.18412148655642827,nonE_restricted,hypertrophic_scar_vs_normal_skin
HALLMARK_MYC_TARGETS_V2,58,Down,0.08469588381595701,0.18412148655642827,nonE_restricted,hypertrophic_scar_vs_normal_skin
HALLMARK_HYPOXIA,194,Up,0.11056323055780722,0.2303400636620984,nonE_restricted,hypertrophic_scar_vs_normal_skin
HALLMARK_WNT_BETA_CATENIN_SIGNALING,39,Down,0.15475196149727685,0.3095039229945537,nonE_restricted,hypertrophic_scar_vs_normal_skin
HALLMARK_APOPTOSIS,159,Up,0.22650991023229958,0.4355584059557488,nonE_restricted,hypertrophic_scar_vs_normal_skin
