gs_name,NGenes,Direction,PValue,FDR,mode,contrast
REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION,299,Up,1.6782955040226772e-20,3.084707136393681e-17,nonE_restricted,hypertrophic_scar_vs_normal_skin
REACTOME_ECM_PROTEOGLYCANS,71,Up,1.8716439953151337e-17,1.7200408316946077e-14,nonE_restricted,hypertrophic_scar_vs_normal_skin
REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS,96,Up,2.1256169649220676e-16,9.916758095076624e-14,nonE_restricted,hypertrophic_scar_vs_normal_skin
REACTOME_COLLAGEN_BIOSYNTHESIS_AND_MODIFYING_ENZYMES,66,Up,2.653094547254748e-16,9.916758095076624e-14,nonE_restricted,hypertrophic_scar_vs_normal_skin
REACTOME_ELASTIC_FIBRE_FORMATION,43,Up,2.697703507909854e-16,9.916758095076624e-14,nonE_restricted,hypertrophic_scar_vs_normal_skin
REACTOME_COLLAGEN_FORMATION,88,Up,1.4008784051449134e-15,4.291357514427251e-13,nonE_restricted,hypertrophic_scar_vs_normal_skin
REACTOME_MOLECULES_ASSOCIATED_WITH_ELASTIC_FIBRES,36,Up,8.574511396580389e-14,2.2514217067021078e-11,nonE_restricted,hypertrophic_scar_vs_normal_skin
REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS,82,Up,1.3581753935120978e-13,3.120407966594044e-11,nonE_restricted,hypertrophic_scar_vs_normal_skin
REACTOME_O_GLYCOSYLATION_OF_TSR_DOMAIN_CONTAINING_PROTEINS,37,Up,2.3701125991069452e-12,4.840296619065072e-10,nonE_restricted,hypertrophic_scar_vs_normal_skin
REACTOME_NITRIC_OXIDE_STIMULATES_GUANYLATE_CYCLASE,21,Up,4.112379961672085e-12,7.558554369553294e-10,nonE_restricted,hypertrophic_scar_vs_normal_skin
REACTOME_ASSEMBLY_OF_COLLAGEN_FIBRILS_AND_OTHER_MULTIMERIC_STRUCTURES,60,Up,7.567709273646918e-12,1.264495422269367e-9,nonE_restricted,hypertrophic_scar_vs_normal_skin
REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX,130,Up,9.500755966320176e-12,1.455199122174707e-9,nonE_restricted,hypertrophic_scar_vs_normal_skin
REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS,95,Up,3.5817484187349e-11,5.064041225872882e-9,nonE_restricted,hypertrophic_scar_vs_normal_skin
REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS,78,Up,1.8194794446251647e-10,2.3887165851578947e-8,nonE_restricted,hypertrophic_scar_vs_normal_skin
REACTOME_COLLAGEN_DEGRADATION,61,Up,2.8945091464381335e-10,3.5467385407688594e-8,nonE_restricted,hypertrophic_scar_vs_normal_skin
REACTOME_CROSSLINKING_OF_COLLAGEN_FIBRILS,18,Up,5.34012389535131e-10,6.134467324784817e-8,nonE_restricted,hypertrophic_scar_vs_normal_skin
REACTOME_CGMP_EFFECTS,15,Up,5.751661218476201e-10,6.218560776211328e-8,nonE_restricted,hypertrophic_scar_vs_normal_skin
REACTOME_SYNDECAN_INTERACTIONS,27,Up,6.251756667688553e-10,6.383738197339755e-8,nonE_restricted,hypertrophic_scar_vs_normal_skin
REACTOME_COLLAGEN_CHAIN_TRIMERIZATION,43,Up,1.6381468005886827e-9,1.5846914839378942e-7,nonE_restricted,hypertrophic_scar_vs_normal_skin
REACTOME_SMOOTH_MUSCLE_CONTRACTION,39,Up,2.108079381837467e-9,1.9373249519086323e-7,nonE_restricted,hypertrophic_scar_vs_normal_skin
