gs_name,NGenes,Direction,PValue,FDR,mode,contrast
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,199,Up,2.5082161639938376e-23,1.2541080819969188e-21,nonE_restricted,late_wound_vs_normal_skin
HALLMARK_ALLOGRAFT_REJECTION,189,Up,5.797092268916471e-10,1.4492730672291178e-8,nonE_restricted,late_wound_vs_normal_skin
HALLMARK_INTERFERON_GAMMA_RESPONSE,199,Up,4.870411607561945e-9,8.117352679269909e-8,nonE_restricted,late_wound_vs_normal_skin
HALLMARK_INFLAMMATORY_RESPONSE,194,Up,7.608511137400429e-9,9.219047147619203e-8,nonE_restricted,late_wound_vs_normal_skin
HALLMARK_IL6_JAK_STAT3_SIGNALING,85,Up,9.219047147619203e-9,9.219047147619203e-8,nonE_restricted,late_wound_vs_normal_skin
HALLMARK_COAGULATION,116,Up,1.2820896890550192e-8,1.0684080742125161e-7,nonE_restricted,late_wound_vs_normal_skin
HALLMARK_ANGIOGENESIS,35,Up,1.859537287070092e-8,1.32824091933578e-7,nonE_restricted,late_wound_vs_normal_skin
HALLMARK_COMPLEMENT,192,Up,3.225520795623787e-8,2.015950497264867e-7,nonE_restricted,late_wound_vs_normal_skin
HALLMARK_INTERFERON_ALPHA_RESPONSE,97,Up,4.072322531632613e-6,2.2624014064625626e-5,nonE_restricted,late_wound_vs_normal_skin
HALLMARK_IL2_STAT5_SIGNALING,195,Up,3.83399988241526e-5,1.9169999412076299e-4,nonE_restricted,late_wound_vs_normal_skin
HALLMARK_APICAL_JUNCTION,193,Up,7.101587013459389e-5,3.227994097026995e-4,nonE_restricted,late_wound_vs_normal_skin
HALLMARK_KRAS_SIGNALING_UP,192,Up,8.239690064530722e-5,3.433204193554468e-4,nonE_restricted,late_wound_vs_normal_skin
HALLMARK_TNFA_SIGNALING_VIA_NFKB,199,Up,9.12089532323541e-5,3.5080366627828505e-4,nonE_restricted,late_wound_vs_normal_skin
HALLMARK_MTORC1_SIGNALING,200,Up,0.002224389842475689,0.007944249437413176,nonE_restricted,late_wound_vs_normal_skin
HALLMARK_APOPTOSIS,159,Up,0.0042313731563007025,0.014104577187669009,nonE_restricted,late_wound_vs_normal_skin
HALLMARK_GLYCOLYSIS,191,Up,0.004837956079293193,0.015118612747791227,nonE_restricted,late_wound_vs_normal_skin
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,48,Up,0.005972418939269166,0.01756593805667402,nonE_restricted,late_wound_vs_normal_skin
HALLMARK_E2F_TARGETS,200,Up,0.007441826427744967,0.020671740077069352,nonE_restricted,late_wound_vs_normal_skin
HALLMARK_HYPOXIA,194,Up,0.012276182589423637,0.03230574365637799,nonE_restricted,late_wound_vs_normal_skin
HALLMARK_UV_RESPONSE_DN,143,Up,0.019960753268481856,0.04990188317120464,nonE_restricted,late_wound_vs_normal_skin
HALLMARK_TGF_BETA_SIGNALING,53,Up,0.02356877491026873,0.056116130738735066,nonE_restricted,late_wound_vs_normal_skin
HALLMARK_UV_RESPONSE_UP,154,Up,0.028791600889869623,0.06543545656788552,nonE_restricted,late_wound_vs_normal_skin
HALLMARK_ANDROGEN_RESPONSE,99,Up,0.04106424981754667,0.08927010829901451,nonE_restricted,late_wound_vs_normal_skin
HALLMARK_MYOGENESIS,180,Up,0.04668789435464005,0.09612979947690341,nonE_restricted,late_wound_vs_normal_skin
