gs_name,NGenes,Direction,PValue,FDR,mode,contrast
REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION,299,Up,1.0369580508904416e-13,1.9059288975366317e-10,nonE_restricted,late_wound_vs_normal_skin
REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS,96,Up,1.4823771826995147e-12,1.362304630900854e-9,nonE_restricted,late_wound_vs_normal_skin
REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL,177,Up,1.2916570212434221e-11,7.913552016818033e-9,nonE_restricted,late_wound_vs_normal_skin
REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS,82,Up,1.9163457313700522e-11,8.80560863564539e-9,nonE_restricted,late_wound_vs_normal_skin
REACTOME_COLLAGEN_FORMATION,88,Up,3.180645025530892e-11,1.1692051113851559e-8,nonE_restricted,late_wound_vs_normal_skin
REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS,95,Up,1.3849305082094578e-10,4.242503790148306e-8,nonE_restricted,late_wound_vs_normal_skin
REACTOME_SCAVENGING_BY_CLASS_A_RECEPTORS,17,Up,8.091077694987336e-10,2.1244858290552461e-7,nonE_restricted,late_wound_vs_normal_skin
REACTOME_CELL_EXTRACELLULAR_MATRIX_INTERACTIONS,18,Up,1.4930125310363718e-9,3.4301962900560645e-7,nonE_restricted,late_wound_vs_normal_skin
REACTOME_COLLAGEN_BIOSYNTHESIS_AND_MODIFYING_ENZYMES,66,Up,3.498406199434659e-9,7.144522882845449e-7,nonE_restricted,late_wound_vs_normal_skin
REACTOME_ASSEMBLY_OF_COLLAGEN_FIBRILS_AND_OTHER_MULTIMERIC_STRUCTURES,60,Up,4.355857292426921e-9,7.69530906803264e-7,nonE_restricted,late_wound_vs_normal_skin
REACTOME_SMOOTH_MUSCLE_CONTRACTION,39,Up,4.605462445503756e-9,7.69530906803264e-7,nonE_restricted,late_wound_vs_normal_skin
REACTOME_COLLAGEN_DEGRADATION,61,Up,5.703199687475075e-9,8.735400854649323e-7,nonE_restricted,late_wound_vs_normal_skin
REACTOME_ECM_PROTEOGLYCANS,71,Up,8.259089190904893e-9,1.0671617374689735e-6,nonE_restricted,late_wound_vs_normal_skin
REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX,130,Up,8.306823537571852e-9,1.0671617374689735e-6,nonE_restricted,late_wound_vs_normal_skin
REACTOME_ELASTIC_FIBRE_FORMATION,43,Up,8.709154549529163e-9,1.0671617374689735e-6,nonE_restricted,late_wound_vs_normal_skin
REACTOME_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2,119,Up,3.4996807344656185e-8,4.020258243717379e-6,nonE_restricted,late_wound_vs_normal_skin
REACTOME_COMPLEMENT_CASCADE,99,Up,5.3416855151477865e-08,5.775304692259783e-6,nonE_restricted,late_wound_vs_normal_skin
REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS,78,Up,8.98657154061477e-8,9.176288050916637e-6,nonE_restricted,late_wound_vs_normal_skin
REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL,174,Up,1.0409561005679566e-7,1.0069880593915286e-5,nonE_restricted,late_wound_vs_normal_skin
REACTOME_SYNDECAN_INTERACTIONS,27,Up,1.6491020595940414e-7,1.515524792766924e-5,nonE_restricted,late_wound_vs_normal_skin
