gs_name,contrast,Direction_stage_only,Direction_nonE_restricted,PValue_stage_only,PValue_nonE_restricted,FDR_stage_only,FDR_nonE_restricted,NGenes_stage_only,NGenes_nonE_restricted,stable_FDR05
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,early_wound_vs_normal_skin,Up,Up,4.7625579213883725e-19,3.473585546150239e-20,2.3812789606941862e-17,1.7367927730751194e-18,199,199,TRUE
HALLMARK_INTERFERON_GAMMA_RESPONSE,early_wound_vs_normal_skin,Up,Up,5.310908253863552e-12,6.836268649037054e-11,9.772108908142946e-11,1.3253548059334696e-9,199,199,TRUE
HALLMARK_ALLOGRAFT_REJECTION,early_wound_vs_normal_skin,Up,Up,5.863265344885767e-12,7.952128835600816e-11,9.772108908142946e-11,1.3253548059334696e-9,189,189,TRUE
HALLMARK_INFLAMMATORY_RESPONSE,early_wound_vs_normal_skin,Up,Up,5.390844431931474e-11,7.177525465722293e-10,6.738555539914342e-10,8.971906832152867e-9,194,194,TRUE
HALLMARK_IL6_JAK_STAT3_SIGNALING,early_wound_vs_normal_skin,Up,Up,1.3357922742629535e-10,9.615316837219717e-10,1.3357922742629534e-9,9.615316837219717e-9,85,85,TRUE
HALLMARK_COMPLEMENT,early_wound_vs_normal_skin,Up,Up,6.647386514049103e-9,2.1868499709029967e-8,5.5394887617075865e-8,1.8223749757524974e-7,192,192,TRUE
HALLMARK_INTERFERON_ALPHA_RESPONSE,early_wound_vs_normal_skin,Up,Up,4.1173263591841e-8,2.4073593621464487e-7,2.9409473994172143e-7,1.337421867859138e-6,97,97,TRUE
HALLMARK_COAGULATION,early_wound_vs_normal_skin,Up,Up,2.370873638183724e-7,1.762041039482572e-7,1.4817960238648274e-6,1.2586007424875516e-6,116,116,TRUE
HALLMARK_ANGIOGENESIS,early_wound_vs_normal_skin,Up,Up,3.290436573217149e-7,2.2941139134486367e-7,1.8280203184539715e-6,1.337421867859138e-6,35,35,TRUE
HALLMARK_TNFA_SIGNALING_VIA_NFKB,early_wound_vs_normal_skin,Up,Up,7.865461659665592e-7,3.7491066402467947e-6,3.932730829832796e-6,1.8745533201233973e-5,199,199,TRUE
HALLMARK_E2F_TARGETS,early_wound_vs_normal_skin,Up,Up,3.830740538209012e-6,5.4248875218418875e-6,1.7412456991859148e-5,2.4658579644735856e-5,200,200,TRUE
HALLMARK_IL2_STAT5_SIGNALING,early_wound_vs_normal_skin,Up,Up,1.6688348566301514e-5,3.607624130302806e-5,6.953478569292298e-5,1.3875477424241562e-4,195,195,TRUE
HALLMARK_MTORC1_SIGNALING,early_wound_vs_normal_skin,Up,Up,2.3185354658906107e-5,1.9567952743410093e-5,8.917444099579272e-5,8.153313643087539e-5,200,200,TRUE
HALLMARK_KRAS_SIGNALING_UP,early_wound_vs_normal_skin,Up,Up,4.3335665305481264e-5,8.084109970208405e-5,1.5477023323386165e-4,2.694703323402802e-4,192,192,TRUE
HALLMARK_MYC_TARGETS_V1,early_wound_vs_normal_skin,Up,Up,7.74579274067496e-5,5.738307263059019e-5,2.58193091355832e-4,2.049395451092507e-4,199,199,TRUE
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,early_wound_vs_normal_skin,Up,Up,5.783798522244971e-4,9.407772216556313e-4,0.0018074370382015533,0.002613270060154531,48,48,TRUE
HALLMARK_G2M_CHECKPOINT,early_wound_vs_normal_skin,Up,Up,7.746747962690902e-4,8.485928795021253e-4,0.002278455283144383,0.0024958614103003686,199,199,TRUE
HALLMARK_APICAL_JUNCTION,early_wound_vs_normal_skin,Up,Up,9.001244911406007e-4,4.911968849343083e-4,0.002500345808723891,0.0015349902654197135,193,193,TRUE
HALLMARK_APOPTOSIS,early_wound_vs_normal_skin,Up,Up,0.0025967607505734736,0.0037405746997223135,0.006534195522039769,0.009351436749305784,159,159,TRUE
HALLMARK_GLYCOLYSIS,early_wound_vs_normal_skin,Up,Up,0.0026136782088159076,0.0021200200224296014,0.006534195522039769,0.005579000059025267,191,191,TRUE
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,early_wound_vs_normal_skin,Up,Up,0.005577554489847733,0.005234168660723426,0.013279891642494601,0.012462306335055776,111,111,TRUE
