gs_name,contrast,Direction_stage_only,Direction_nonE_restricted,PValue_stage_only,PValue_nonE_restricted,FDR_stage_only,FDR_nonE_restricted,NGenes_stage_only,NGenes_nonE_restricted,stable_FDR05
REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS,early_wound_vs_normal_skin,Up,Up,1.0903076860054465e-10,1.797057498560715e-11,2.0039855268780109e-7,3.302991682354594e-8,96,96,TRUE
REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION,early_wound_vs_normal_skin,Up,Up,4.3575798162959394e-10,9.583436673113818e-11,4.004615851175968e-7,8.807178302591598e-8,299,299,TRUE
REACTOME_INTERLEUKIN_10_SIGNALING,early_wound_vs_normal_skin,Up,Up,3.0576389430458987e-9,2.072031184533504e-8,1.5248660629022082e-6,5.573438630274989e-6,44,44,TRUE
REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL,early_wound_vs_normal_skin,Up,Up,3.318533325140823e-9,6.620233619655554e-9,1.5248660629022082e-6,4.00893279504228e-6,177,177,TRUE
REACTOME_NEUTROPHIL_DEGRANULATION,early_wound_vs_normal_skin,Up,Up,7.305882495372306e-9,3.7382930925205924e-08,2.6856424052988596e-6,8.588728380066061e-6,466,466,TRUE
REACTOME_CELL_EXTRACELLULAR_MATRIX_INTERACTIONS,early_wound_vs_normal_skin,Up,Up,2.0132587949737386e-8,8.72455450498864e-9,6.167282775269552e-6,4.00893279504228e-6,18,18,TRUE
REACTOME_SCAVENGING_BY_CLASS_A_RECEPTORS,early_wound_vs_normal_skin,Up,Up,6.548055636743571e-8,1.7399298655280608e-8,1.7193323229049547e-5,5.573438630274989e-6,17,17,TRUE
REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS,early_wound_vs_normal_skin,Up,Up,1.0289524345024043e-7,2.122637127961095e-8,2.364018218269274e-5,5.573438630274989e-6,82,82,TRUE
REACTOME_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2,early_wound_vs_normal_skin,Up,Up,1.2193675700372716e-7,9.554303443312686e-8,2.490219548587228e-5,1.59643724807352e-5,119,119,TRUE
REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING,early_wound_vs_normal_skin,Up,Up,1.643527494531013e-7,4.0741584351701233e-7,3.0208035349480023e-5,4.85854641828368e-5,102,102,TRUE
REACTOME_SMOOTH_MUSCLE_CONTRACTION,early_wound_vs_normal_skin,Up,Up,1.8914956519308564e-7,8.431082015192276e-8,3.1605172802262855e-5,1.5496328743923406e-5,39,39,TRUE
REACTOME_TRAFFICKING_AND_PROCESSING_OF_ENDOSOMAL_TLR,early_wound_vs_normal_skin,Up,Up,2.2850572694516545e-7,3.746461725000957e-7,3.30814974750966e-5,4.85854641828368e-5,13,13,TRUE
REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION,early_wound_vs_normal_skin,Up,Up,2.37798263133938e-7,4.2294201682556517e-7,3.30814974750966e-5,4.85854641828368e-5,95,95,TRUE
REACTOME_COLLAGEN_FORMATION,early_wound_vs_normal_skin,Up,Up,2.5198093833044203e-7,5.0662797833500736e-8,3.30814974750966e-5,1.0346469157552706e-5,88,88,TRUE
REACTOME_MATURATION_OF_DENV_PROTEINS,early_wound_vs_normal_skin,Up,Up,6.205640107736021e-7,2.628114377529533e-7,7.603977678679204e-5,3.971208971885282e-5,50,50,TRUE
REACTOME_ELASTIC_FIBRE_FORMATION,early_wound_vs_normal_skin,Up,Up,7.132875234663497e-7,2.8087985111266957e-7,8.193890425819693e-5,3.971208971885282e-5,43,43,TRUE
REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES,early_wound_vs_normal_skin,Up,Up,1.0616008198746662e-6,6.287795819465443e-6,1.1477778276056686e-4,4.444987967760571e-4,54,54,TRUE
REACTOME_INNATE_IMMUNE_SYSTEM,early_wound_vs_normal_skin,Up,Up,3.3589667939034797e-6,7.941941286572386e-6,3.429878315108109e-4,5.228661869966376e-4,1006,1006,TRUE
REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX,early_wound_vs_normal_skin,Up,Up,4.439068397743812e-6,1.2115656473876637e-6,4.2942145868700665e-4,1.3099162705285447e-4,130,130,TRUE
REACTOME_REGULATION_OF_TLR_BY_ENDOGENOUS_LIGAND,early_wound_vs_normal_skin,Up,Up,5.591951952548042e-6,9.418420907933609e-6,5.139003844391651e-4,5.584212138316766e-4,17,17,TRUE
REACTOME_G_ALPHA_S_SIGNALLING_EVENTS,early_wound_vs_normal_skin,Up,Up,6.26851136229478e-6,4.565090794425012e-6,5.48643994471324e-4,3.4960987000638217e-4,108,108,TRUE
REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION,early_wound_vs_normal_skin,Up,Up,6.855899704495655e-6,7.965317320949865e-6,5.613474502594544e-4,5.228661869966376e-4,239,239,TRUE
REACTOME_INTERFERON_ALPHA_BETA_SIGNALING,early_wound_vs_normal_skin,Up,Up,7.024478430885446e-6,2.4141227884261156e-5,5.613474502594544e-4,0.0013445932379173335,64,64,TRUE
REACTOME_COLLAGEN_DEGRADATION,early_wound_vs_normal_skin,Up,Up,9.518481864388913e-6,2.8599376842034936e-6,7.289570694477842e-4,2.6282827317830105e-4,61,61,TRUE
REACTOME_ASSEMBLY_OF_COLLAGEN_FIBRILS_AND_OTHER_MULTIMERIC_STRUCTURES,early_wound_vs_normal_skin,Up,Up,1.1785141657609635e-5,2.5163401446456457e-6,8.664436146674603e-4,2.434227992557209e-4,60,60,TRUE
REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS,early_wound_vs_normal_skin,Up,Up,1.2908839525815567e-5,3.633452369797284e-5,9.125556557095775e-4,0.0016408981297879204,128,128,TRUE
REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS,early_wound_vs_normal_skin,Up,Up,1.4110800955597803e-5,1.8157726155380064e-6,9.526909465594548e-4,1.854105592977142e-4,95,95,TRUE
REACTOME_DISEASES_OF_GLYCOSYLATION,early_wound_vs_normal_skin,Up,Up,1.4513246193506385e-5,9.012325974166936e-6,9.526909465594548e-4,5.521551713506276e-4,136,136,TRUE
REACTOME_COLLAGEN_BIOSYNTHESIS_AND_MODIFYING_ENZYMES,early_wound_vs_normal_skin,Up,Up,1.535163149775763e-5,3.077432468039102e-6,9.729758169958111e-4,2.6934861315504137e-4,66,66,TRUE
REACTOME_SYNDECAN_INTERACTIONS,early_wound_vs_normal_skin,Up,Up,1.638898051834993e-5,3.746209805568368e-6,9.945301051653074e-4,3.1297880102884823e-4,27,27,TRUE
REACTOME_O_GLYCOSYLATION_OF_TSR_DOMAIN_CONTAINING_PROTEINS,early_wound_vs_normal_skin,Up,Up,1.6773902753060135e-5,5.608942214814386e-6,9.945301051653074e-4,4.123694316331537e-4,37,37,TRUE
REACTOME_BIOSYNTHESIS_OF_THE_N_GLYCAN_PRECURSOR_DOLICHOL_LIPID_LINKED_OLIGOSACCHARIDE_LLO_AND_TRANSFER_TO_A_NASCENT_PROTEIN,early_wound_vs_normal_skin,Up,Up,1.8090851795294975e-5,2.7278886480671725e-5,0.001039093299992255,0.0013927387042076288,77,77,TRUE
REACTOME_SYNTHESIS_OF_SUBSTRATES_IN_N_GLYCAN_BIOSYTHESIS,early_wound_vs_normal_skin,Up,Up,2.02324193631886e-5,2.9795674533789893e-5,0.0011268844481678983,0.0014801202646785357,62,62,TRUE
REACTOME_GLYCOSAMINOGLYCAN_METABOLISM,early_wound_vs_normal_skin,Up,Up,2.0985520394291264e-5,2.5953484412070783e-5,0.001134452543667863,0.0013629286956967457,127,127,TRUE
REACTOME_ECM_PROTEOGLYCANS,early_wound_vs_normal_skin,Up,Up,2.4136539126931843e-5,4.387346366093231e-6,0.001267513111865735,3.4960987000638217e-4,71,71,TRUE
REACTOME_IRAK4_DEFICIENCY_TLR2_4,early_wound_vs_normal_skin,Up,Up,2.503959074457554e-5,3.749603996250961e-5,0.0012784102163480512,0.0016408981297879204,15,15,TRUE
REACTOME_INTERLEUKIN_12_FAMILY_SIGNALING,early_wound_vs_normal_skin,Up,Up,2.876459226514825e-5,3.6631266936643154e-5,0.0014289005563065536,0.0016408981297879204,51,51,TRUE
REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS,early_wound_vs_normal_skin,Up,Up,3.211477008554166e-5,8.286013429220962e-6,0.001553340721505936,5.251618166520044e-4,78,78,TRUE
REACTOME_CROSSLINKING_OF_COLLAGEN_FIBRILS,early_wound_vs_normal_skin,Up,Up,3.4770397901013815e-5,1.0268411855307233e-5,0.0016386664446682922,5.897919059392092e-4,18,18,TRUE
REACTOME_SIGNALING_BY_INTERLEUKINS,early_wound_vs_normal_skin,Up,Up,4.275706856763435e-5,9.470836168327136e-5,0.0019646873006827987,0.003413215073997113,419,419,TRUE
REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS,early_wound_vs_normal_skin,Up,Up,4.815114476596951e-5,1.139813722163288e-4,0.0021157786335763828,0.004028803117954083,225,225,TRUE
REACTOME_ACTIVATION_OF_MATRIX_METALLOPROTEINASES,early_wound_vs_normal_skin,Up,Up,4.8590264341115756e-5,5.158031800260633e-5,0.0021157786335763828,0.0021546505565634188,26,26,TRUE
REACTOME_INTERLEUKIN_2_FAMILY_SIGNALING,early_wound_vs_normal_skin,Up,Up,4.9498629621210264e-5,1.1976559557847895e-4,0.0021157786335763828,0.004076466012467487,39,39,TRUE
REACTOME_MATURATION_OF_SARS_COV_2_SPIKE_PROTEIN,early_wound_vs_normal_skin,Up,Up,5.449666464335276e-5,7.076141311463078e-5,0.002271398119488168,0.0028273799414063345,40,40,TRUE
REACTOME_P130CAS_LINKAGE_TO_MAPK_SIGNALING_FOR_INTEGRINS,early_wound_vs_normal_skin,Up,Up,5.56109441659236e-5,4.402589663552188e-5,0.002271398119488168,0.0018818511166532376,12,12,TRUE
REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL,early_wound_vs_normal_skin,Up,Up,5.908624748693378e-5,3.384084979438806e-5,0.0023608809321953106,0.0015948585108226988,174,174,TRUE
REACTOME_MOLECULES_ASSOCIATED_WITH_ELASTIC_FIBRES,early_wound_vs_normal_skin,Up,Up,6.469781300489136e-5,2.5214390261057133e-5,0.0025300974532551134,0.0013629286956967457,36,36,TRUE
REACTOME_GRB2_SOS_PROVIDES_LINKAGE_TO_MAPK_SIGNALING_FOR_INTEGRINS,early_wound_vs_normal_skin,Up,Up,8.150747883545427e-5,7.834211081739891e-5,0.003121057210407603,0.0029998499933828996,12,12,TRUE
REACTOME_PHOSPHORYLATION_OF_CD3_AND_TCR_ZETA_CHAINS,early_wound_vs_normal_skin,Up,Up,9.442013570822406e-5,2.901400561656352e-4,0.003476990827151614,0.007305170181266267,24,24,TRUE
REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP,early_wound_vs_normal_skin,Down,Down,9.458625753948895e-5,1.3377295281827658e-4,0.003476990827151614,0.004332876785431299,42,42,TRUE
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,early_wound_vs_normal_skin,Up,Up,1.066449967557996e-4,2.3155264826577257e-4,0.0037978972121699437,0.006258731875183676,719,719,TRUE
REACTOME_REGULATION_OF_CYTOSKELETAL_REMODELING_AND_CELL_SPREADING_BY_IPP_COMPLEX_COMPONENTS,early_wound_vs_normal_skin,Up,Up,1.0744866976759362e-4,7.628624669792406e-5,0.0037978972121699437,0.002983279179378392,8,8,TRUE
REACTOME_FORMATION_OF_WDR5_CONTAINING_HISTONE_MODIFYING_COMPLEXES,early_wound_vs_normal_skin,Down,Down,1.1276239972870661e-4,8.761319896800755e-5,0.003910514918893637,0.0032206611940639573,42,42,TRUE
REACTOME_ANTIGEN_PROCESSING_UB_ATP_INDEPENDENT_PROTEASOMAL_DEGRADATION,early_wound_vs_normal_skin,Up,Up,1.2320006344528975e-4,1.2490252474738644e-4,0.004154960616673112,0.004174015281558115,19,19,TRUE
