gs_name,NGenes,Direction,PValue,FDR,mode,contrast
HALLMARK_E2F_TARGETS,200,Down,4.628407923105961e-22,2.3142039615529805e-20,stage_only,hypertrophic_scar_vs_late_wound
HALLMARK_TNFA_SIGNALING_VIA_NFKB,199,Down,1.034532694616253e-20,2.5863317365406327e-19,stage_only,hypertrophic_scar_vs_late_wound
HALLMARK_G2M_CHECKPOINT,199,Down,2.0353068561511025e-18,3.392178093585171e-17,stage_only,hypertrophic_scar_vs_late_wound
HALLMARK_MYC_TARGETS_V1,199,Down,7.634754235951604e-17,9.543442794939505e-16,stage_only,hypertrophic_scar_vs_late_wound
HALLMARK_ALLOGRAFT_REJECTION,189,Down,2.1240291701722854e-16,2.1240291701722853e-15,stage_only,hypertrophic_scar_vs_late_wound
HALLMARK_INFLAMMATORY_RESPONSE,194,Down,5.840481760820801e-16,4.867068134017335e-15,stage_only,hypertrophic_scar_vs_late_wound
HALLMARK_IL6_JAK_STAT3_SIGNALING,85,Down,2.2255665276784776e-15,1.5896903769131983e-14,stage_only,hypertrophic_scar_vs_late_wound
HALLMARK_INTERFERON_GAMMA_RESPONSE,199,Down,1.1322693816530503e-14,7.076683635331564e-14,stage_only,hypertrophic_scar_vs_late_wound
HALLMARK_MTORC1_SIGNALING,200,Down,3.272165105749747e-11,1.8178695031943036e-10,stage_only,hypertrophic_scar_vs_late_wound
HALLMARK_COMPLEMENT,192,Down,5.844222312328128e-11,2.9221111561640643e-10,stage_only,hypertrophic_scar_vs_late_wound
HALLMARK_INTERFERON_ALPHA_RESPONSE,97,Down,3.904073968039694e-8,1.7745790763816794e-7,stage_only,hypertrophic_scar_vs_late_wound
HALLMARK_OXIDATIVE_PHOSPHORYLATION,200,Down,1.5327674292595285e-7,6.386530955248036e-7,stage_only,hypertrophic_scar_vs_late_wound
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,48,Down,3.1282163650245335e-7,1.2031601403940514e-6,stage_only,hypertrophic_scar_vs_late_wound
HALLMARK_MYC_TARGETS_V2,58,Down,1.4202383734308534e-6,5.072279905110191e-6,stage_only,hypertrophic_scar_vs_late_wound
HALLMARK_IL2_STAT5_SIGNALING,195,Down,6.515033103742556e-6,2.1716777012475188e-5,stage_only,hypertrophic_scar_vs_late_wound
HALLMARK_UV_RESPONSE_UP,154,Down,1.9077426512943938e-5,5.961695785294981e-5,stage_only,hypertrophic_scar_vs_late_wound
HALLMARK_APOPTOSIS,159,Down,4.489936938466138e-5,1.3205696877841583e-4,stage_only,hypertrophic_scar_vs_late_wound
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,111,Down,1.316689879696828e-4,3.6574718880467446e-4,stage_only,hypertrophic_scar_vs_late_wound
HALLMARK_DNA_REPAIR,150,Down,3.741218882518014e-4,9.845312848731618e-4,stage_only,hypertrophic_scar_vs_late_wound
HALLMARK_PI3K_AKT_MTOR_SIGNALING,102,Down,8.232069180756897e-4,0.0020580172951892243,stage_only,hypertrophic_scar_vs_late_wound
HALLMARK_GLYCOLYSIS,191,Down,0.0013045691565142133,0.0031061170393195552,stage_only,hypertrophic_scar_vs_late_wound
HALLMARK_HYPOXIA,194,Down,0.0018777587004648974,0.004267633410147495,stage_only,hypertrophic_scar_vs_late_wound
HALLMARK_ADIPOGENESIS,198,Down,0.00229013230567114,0.004978548490589435,stage_only,hypertrophic_scar_vs_late_wound
HALLMARK_MITOTIC_SPINDLE,199,Down,0.003427882113118682,0.007059972758237562,stage_only,hypertrophic_scar_vs_late_wound
HALLMARK_XENOBIOTIC_METABOLISM,182,Down,0.0035826796866596784,0.007059972758237562,stage_only,hypertrophic_scar_vs_late_wound
HALLMARK_P53_PATHWAY,200,Down,0.003671185834283532,0.007059972758237562,stage_only,hypertrophic_scar_vs_late_wound
HALLMARK_KRAS_SIGNALING_UP,192,Down,0.011359230295730986,0.021035611658761087,stage_only,hypertrophic_scar_vs_late_wound
HALLMARK_FATTY_ACID_METABOLISM,152,Down,0.011984897820475782,0.021401603250849614,stage_only,hypertrophic_scar_vs_late_wound
HALLMARK_UV_RESPONSE_DN,143,Up,0.0169984697825324,0.029307706521607583,stage_only,hypertrophic_scar_vs_late_wound
HALLMARK_COAGULATION,116,Down,0.033378582004854884,0.055630970008091474,stage_only,hypertrophic_scar_vs_late_wound
HALLMARK_ANDROGEN_RESPONSE,99,Down,0.04741887426697544,0.07648205526931523,stage_only,hypertrophic_scar_vs_late_wound
HALLMARK_HEDGEHOG_SIGNALING,33,Up,0.06120396906653173,0.09563120166645582,stage_only,hypertrophic_scar_vs_late_wound
HALLMARK_ANGIOGENESIS,35,Down,0.11488683292410527,0.17407095897591707,stage_only,hypertrophic_scar_vs_late_wound
HALLMARK_MYOGENESIS,180,Up,0.14813273460291213,0.21784225676898844,stage_only,hypertrophic_scar_vs_late_wound
HALLMARK_KRAS_SIGNALING_DN,150,Up,0.1583158885327643,0.22616555504680613,stage_only,hypertrophic_scar_vs_late_wound
HALLMARK_SPERMATOGENESIS,103,Down,0.19480015049854377,0.27055576458131075,stage_only,hypertrophic_scar_vs_late_wound
HALLMARK_TGF_BETA_SIGNALING,53,Down,0.22804304836254907,0.3081662815710123,stage_only,hypertrophic_scar_vs_late_wound
HALLMARK_ESTROGEN_RESPONSE_EARLY,197,Up,0.3037165614916627,0.39962705459429304,stage_only,hypertrophic_scar_vs_late_wound
HALLMARK_CHOLESTEROL_HOMEOSTASIS,73,Down,0.32311044575501435,0.4142441612243774,stage_only,hypertrophic_scar_vs_late_wound
HALLMARK_APICAL_JUNCTION,193,Down,0.3611595261118079,0.4514494076397599,stage_only,hypertrophic_scar_vs_late_wound
HALLMARK_WNT_BETA_CATENIN_SIGNALING,39,Up,0.5361113604482379,0.6537943420100463,stage_only,hypertrophic_scar_vs_late_wound
HALLMARK_HEME_METABOLISM,184,Down,0.5560635055708293,0.6619803637747967,stage_only,hypertrophic_scar_vs_late_wound
HALLMARK_NOTCH_SIGNALING,32,Down,0.6516523980389501,0.7577353465569188,stage_only,hypertrophic_scar_vs_late_wound
HALLMARK_BILE_ACID_METABOLISM,97,Up,0.7828281435403567,0.8895774358413144,stage_only,hypertrophic_scar_vs_late_wound
HALLMARK_PEROXISOME,97,Down,0.8171519511047229,0.8914589825913293,stage_only,hypertrophic_scar_vs_late_wound
HALLMARK_PANCREAS_BETA_CELLS,26,Up,0.820142263984023,0.8914589825913293,stage_only,hypertrophic_scar_vs_late_wound
HALLMARK_PROTEIN_SECRETION,95,Down,0.851615628323819,0.9059740726849138,stage_only,hypertrophic_scar_vs_late_wound
HALLMARK_APICAL_SURFACE,43,Down,0.9394104395526859,0.973540945975878,stage_only,hypertrophic_scar_vs_late_wound
HALLMARK_ESTROGEN_RESPONSE_LATE,195,Down,0.9540701270563604,0.973540945975878,stage_only,hypertrophic_scar_vs_late_wound
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,199,Up,0.9906411795620423,0.9906411795620423,stage_only,hypertrophic_scar_vs_late_wound
