gs_name,NGenes,Direction,PValue,FDR,mode,contrast
REACTOME_INTERLEUKIN_10_SIGNALING,44,Down,1.4202305839340793e-16,2.610383813270838e-13,stage_only,hypertrophic_scar_vs_late_wound
REACTOME_NEUTROPHIL_DEGRANULATION,466,Down,7.12032188041227e-16,6.543575808098876e-13,stage_only,hypertrophic_scar_vs_late_wound
REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION,95,Down,1.663598134643661e-14,8.297957442127811e-12,stage_only,hypertrophic_scar_vs_late_wound
REACTOME_DNA_REPLICATION,149,Down,1.8058666903433755e-14,8.297957442127811e-12,stage_only,hypertrophic_scar_vs_late_wound
REACTOME_G2_M_CHECKPOINTS,136,Down,6.323484253593961e-14,2.3245128116211405e-11,stage_only,hypertrophic_scar_vs_late_wound
REACTOME_SYNTHESIS_OF_DNA,108,Down,3.614743014811744e-13,9.731277805194564e-11,stage_only,hypertrophic_scar_vs_late_wound
REACTOME_CELL_CYCLE_CHECKPOINTS,268,Down,3.706144974774861e-13,9.731277805194564e-11,stage_only,hypertrophic_scar_vs_late_wound
REACTOME_DNA_REPLICATION_PRE_INITIATION,114,Down,7.477289331824754e-13,1.54203437904343e-10,stage_only,hypertrophic_scar_vs_late_wound
REACTOME_MITOTIC_G1_PHASE_AND_G1_S_TRANSITION,138,Down,7.55076681794933e-13,1.54203437904343e-10,stage_only,hypertrophic_scar_vs_late_wound
REACTOME_SIGNALING_BY_INTERLEUKINS,419,Down,2.004846719894926e-12,3.684908271166874e-10,stage_only,hypertrophic_scar_vs_late_wound
REACTOME_CELL_CYCLE_MITOTIC,510,Down,2.904990043480735e-12,4.853974272652356e-10,stage_only,hypertrophic_scar_vs_late_wound
REACTOME_APC_C_MEDIATED_DEGRADATION_OF_CELL_CYCLE_PROTEINS,75,Down,4.460266283184186e-12,6.831641190410444e-10,stage_only,hypertrophic_scar_vs_late_wound
REACTOME_INNATE_IMMUNE_SYSTEM,1006,Down,5.021635943566641e-12,7.099820664827297e-10,stage_only,hypertrophic_scar_vs_late_wound
REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE,218,Down,2.7985427227079985e-11,3.674086803098072e-9,stage_only,hypertrophic_scar_vs_late_wound
REACTOME_ACTIVATION_OF_APC_C_AND_APC_C_CDC20_MEDIATED_DEGRADATION_OF_MITOTIC_PROTEINS,64,Down,3.452332674237724e-11,4.230258303499291e-9,stage_only,hypertrophic_scar_vs_late_wound
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,719,Down,4.085031519314914e-11,4.692679957813008e-9,stage_only,hypertrophic_scar_vs_late_wound
REACTOME_DNA_STRAND_ELONGATION,32,Down,5.4494664998890746e-11,5.891834956938894e-9,stage_only,hypertrophic_scar_vs_late_wound
REACTOME_CELL_CYCLE,637,Down,8.758707227317134e-11,8.603061059675012e-9,stage_only,hypertrophic_scar_vs_late_wound
REACTOME_S_PHASE,150,Down,8.90302296038343e-11,8.603061059675012e-9,stage_only,hypertrophic_scar_vs_late_wound
REACTOME_ORC1_REMOVAL_FROM_CHROMATIN,58,Down,9.361328682997835e-11,8.603061059675012e-9,stage_only,hypertrophic_scar_vs_late_wound
REACTOME_HOST_INTERACTIONS_OF_HIV_FACTORS,118,Down,2.1475420831640305e-10,1.879610642312137e-8,stage_only,hypertrophic_scar_vs_late_wound
REACTOME_GENE_AND_PROTEIN_EXPRESSION_BY_JAK_STAT_SIGNALING_AFTER_INTERLEUKIN_12_STIMULATION,34,Down,2.430507255396084e-10,1.962822157319666e-8,stage_only,hypertrophic_scar_vs_late_wound
REACTOME_SWITCHING_OF_ORIGINS_TO_A_POST_REPLICATIVE_STATE,79,Down,2.45619747651536e-10,1.962822157319666e-8,stage_only,hypertrophic_scar_vs_late_wound
REACTOME_SEPARATION_OF_SISTER_CHROMATIDS,173,Down,2.713693500801594e-10,2.0782369393638874e-8,stage_only,hypertrophic_scar_vs_late_wound
REACTOME_TCR_SIGNALING,108,Down,2.8297908310687107e-10,2.080462219001716e-8,stage_only,hypertrophic_scar_vs_late_wound
REACTOME_INTERLEUKIN_12_FAMILY_SIGNALING,51,Down,3.329129628707829e-10,2.353438560601919e-8,stage_only,hypertrophic_scar_vs_late_wound
