gs_name,NGenes,Direction,PValue,FDR,mode,contrast
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,199,Up,3.059887958704257e-32,1.5299439793521284e-30,stage_only,hypertrophic_scar_vs_normal_skin
HALLMARK_ANGIOGENESIS,35,Up,8.099658532519269e-9,2.0249146331298174e-7,stage_only,hypertrophic_scar_vs_normal_skin
HALLMARK_COAGULATION,116,Up,1.8170019548741424e-8,3.028336591456904e-7,stage_only,hypertrophic_scar_vs_normal_skin
HALLMARK_UV_RESPONSE_DN,143,Up,1.7170139397872087e-5,2.1462674247340108e-4,stage_only,hypertrophic_scar_vs_normal_skin
HALLMARK_G2M_CHECKPOINT,199,Down,5.869998296259958e-5,5.419750098486628e-4,stage_only,hypertrophic_scar_vs_normal_skin
HALLMARK_MYC_TARGETS_V1,199,Down,6.503700118183953e-5,5.419750098486628e-4,stage_only,hypertrophic_scar_vs_normal_skin
HALLMARK_APICAL_JUNCTION,193,Up,1.034380393699646e-4,7.388431383568901e-4,stage_only,hypertrophic_scar_vs_normal_skin
HALLMARK_E2F_TARGETS,200,Down,1.3891435845582074e-4,8.682147403488796e-4,stage_only,hypertrophic_scar_vs_normal_skin
HALLMARK_KRAS_SIGNALING_UP,192,Up,8.255937724169883e-4,0.0044761121322930714,stage_only,hypertrophic_scar_vs_normal_skin
HALLMARK_MYOGENESIS,180,Up,8.952224264586143e-4,0.0044761121322930714,stage_only,hypertrophic_scar_vs_normal_skin
HALLMARK_MYC_TARGETS_V2,58,Down,0.0016684962155922617,0.007584073707237554,stage_only,hypertrophic_scar_vs_normal_skin
HALLMARK_HEDGEHOG_SIGNALING,33,Up,0.003042297822105381,0.012676240925439088,stage_only,hypertrophic_scar_vs_normal_skin
HALLMARK_P53_PATHWAY,200,Down,0.004537088222811332,0.017450339318505124,stage_only,hypertrophic_scar_vs_normal_skin
HALLMARK_COMPLEMENT,192,Up,0.008964727731451991,0.0315888337231927,stage_only,hypertrophic_scar_vs_normal_skin
HALLMARK_ALLOGRAFT_REJECTION,189,Up,0.009476650116957808,0.0315888337231927,stage_only,hypertrophic_scar_vs_normal_skin
HALLMARK_INTERFERON_GAMMA_RESPONSE,199,Up,0.02428938565437796,0.07078697746514899,stage_only,hypertrophic_scar_vs_normal_skin
HALLMARK_OXIDATIVE_PHOSPHORYLATION,200,Down,0.025152433006580502,0.07078697746514899,stage_only,hypertrophic_scar_vs_normal_skin
HALLMARK_IL2_STAT5_SIGNALING,195,Up,0.026150123130571436,0.07078697746514899,stage_only,hypertrophic_scar_vs_normal_skin
HALLMARK_INFLAMMATORY_RESPONSE,194,Up,0.026899051436756614,0.07078697746514899,stage_only,hypertrophic_scar_vs_normal_skin
HALLMARK_INTERFERON_ALPHA_RESPONSE,97,Up,0.035029692255119205,0.08757423063779801,stage_only,hypertrophic_scar_vs_normal_skin
HALLMARK_IL6_JAK_STAT3_SIGNALING,85,Up,0.04176378284273457,0.09943757819698706,stage_only,hypertrophic_scar_vs_normal_skin
HALLMARK_PANCREAS_BETA_CELLS,26,Up,0.04954609952795803,0.11260477165445007,stage_only,hypertrophic_scar_vs_normal_skin
HALLMARK_HEME_METABOLISM,184,Down,0.05636392416106776,0.11755293748948464,stage_only,hypertrophic_scar_vs_normal_skin
HALLMARK_DNA_REPAIR,150,Down,0.05642540999495262,0.11755293748948464,stage_only,hypertrophic_scar_vs_normal_skin
HALLMARK_PI3K_AKT_MTOR_SIGNALING,102,Down,0.07370968018324599,0.1441766196200921,stage_only,hypertrophic_scar_vs_normal_skin
HALLMARK_TGF_BETA_SIGNALING,53,Up,0.07497184220244789,0.1441766196200921,stage_only,hypertrophic_scar_vs_normal_skin
HALLMARK_WNT_BETA_CATENIN_SIGNALING,39,Down,0.15696546305472095,0.2906767834346684,stage_only,hypertrophic_scar_vs_normal_skin
HALLMARK_MTORC1_SIGNALING,200,Down,0.21447076814697122,0.3726019229088,stage_only,hypertrophic_scar_vs_normal_skin
HALLMARK_MITOTIC_SPINDLE,199,Down,0.21610911528710403,0.3726019229088,stage_only,hypertrophic_scar_vs_normal_skin
HALLMARK_TNFA_SIGNALING_VIA_NFKB,199,Down,0.23462654319125537,0.3910442386520923,stage_only,hypertrophic_scar_vs_normal_skin
HALLMARK_SPERMATOGENESIS,103,Down,0.2679688306256007,0.42755033856256797,stage_only,hypertrophic_scar_vs_normal_skin
HALLMARK_ESTROGEN_RESPONSE_LATE,195,Down,0.27771750876652634,0.42755033856256797,stage_only,hypertrophic_scar_vs_normal_skin
HALLMARK_FATTY_ACID_METABOLISM,152,Down,0.2821832234512949,0.42755033856256797,stage_only,hypertrophic_scar_vs_normal_skin
HALLMARK_NOTCH_SIGNALING,32,Down,0.30478307611969363,0.44522602929103616,stage_only,hypertrophic_scar_vs_normal_skin
HALLMARK_PEROXISOME,97,Down,0.3116582205037253,0.44522602929103616,stage_only,hypertrophic_scar_vs_normal_skin
HALLMARK_BILE_ACID_METABOLISM,97,Down,0.33375439114425187,0.4635477654781276,stage_only,hypertrophic_scar_vs_normal_skin
HALLMARK_HYPOXIA,194,Up,0.36497099860410986,0.48025073402717483,stage_only,hypertrophic_scar_vs_normal_skin
HALLMARK_GLYCOLYSIS,191,Up,0.3687836972589459,0.48025073402717483,stage_only,hypertrophic_scar_vs_normal_skin
HALLMARK_ANDROGEN_RESPONSE,99,Up,0.37459557254119635,0.48025073402717483,stage_only,hypertrophic_scar_vs_normal_skin
HALLMARK_APOPTOSIS,159,Up,0.4423796138000933,0.5529745172501166,stage_only,hypertrophic_scar_vs_normal_skin
HALLMARK_KRAS_SIGNALING_DN,150,Down,0.46817790162608974,0.5709486605196217,stage_only,hypertrophic_scar_vs_normal_skin
HALLMARK_ESTROGEN_RESPONSE_EARLY,197,Down,0.5077340015685785,0.5904649676787362,stage_only,hypertrophic_scar_vs_normal_skin
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,111,Down,0.5077998722037131,0.5904649676787362,stage_only,hypertrophic_scar_vs_normal_skin
HALLMARK_CHOLESTEROL_HOMEOSTASIS,73,Down,0.5661611185587803,0.6433649074531594,stage_only,hypertrophic_scar_vs_normal_skin
HALLMARK_APICAL_SURFACE,43,Up,0.6225942958060369,0.6878961519061015,stage_only,hypertrophic_scar_vs_normal_skin
HALLMARK_UV_RESPONSE_UP,154,Down,0.6328644597536135,0.6878961519061015,stage_only,hypertrophic_scar_vs_normal_skin
HALLMARK_ADIPOGENESIS,198,Down,0.6653175758293285,0.7077846551375835,stage_only,hypertrophic_scar_vs_normal_skin
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,48,Down,0.8243056156527587,0.8586516829716238,stage_only,hypertrophic_scar_vs_normal_skin
HALLMARK_PROTEIN_SECRETION,95,Up,0.9552480442694012,0.967735562082527,stage_only,hypertrophic_scar_vs_normal_skin
HALLMARK_XENOBIOTIC_METABOLISM,182,Up,0.967735562082527,0.967735562082527,stage_only,hypertrophic_scar_vs_normal_skin
