gs_name,NGenes,Direction,PValue,FDR,mode,contrast
REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION,299,Up,7.666122020749768e-20,1.4090332274138074e-16,stage_only,hypertrophic_scar_vs_normal_skin
REACTOME_ECM_PROTEOGLYCANS,71,Up,6.170273276958741e-18,5.670481141525083e-15,stage_only,hypertrophic_scar_vs_normal_skin
REACTOME_COLLAGEN_BIOSYNTHESIS_AND_MODIFYING_ENZYMES,66,Up,3.847440571968503e-17,2.357198590426036e-14,stage_only,hypertrophic_scar_vs_normal_skin
REACTOME_COLLAGEN_FORMATION,88,Up,1.4472528521841966e-15,6.650126855786383e-13,stage_only,hypertrophic_scar_vs_normal_skin
REACTOME_ELASTIC_FIBRE_FORMATION,43,Up,4.418936805750972e-15,1.6244011697940573e-12,stage_only,hypertrophic_scar_vs_normal_skin
REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS,96,Up,1.4807655866469853e-14,4.536078580428598e-12,stage_only,hypertrophic_scar_vs_normal_skin
REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS,82,Up,8.561884366951349e-14,2.248106209493797e-11,stage_only,hypertrophic_scar_vs_normal_skin
REACTOME_MOLECULES_ASSOCIATED_WITH_ELASTIC_FIBRES,36,Up,4.5241235308348676e-13,1.0394173812093108e-10,stage_only,hypertrophic_scar_vs_normal_skin
REACTOME_O_GLYCOSYLATION_OF_TSR_DOMAIN_CONTAINING_PROTEINS,37,Up,2.4319305602655667e-12,4.96654263307568e-10,stage_only,hypertrophic_scar_vs_normal_skin
REACTOME_ASSEMBLY_OF_COLLAGEN_FIBRILS_AND_OTHER_MULTIMERIC_STRUCTURES,60,Up,9.559349642695071e-12,1.757008464327354e-9,stage_only,hypertrophic_scar_vs_normal_skin
REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX,130,Up,2.6725529240674343e-11,4.46559297675995e-9,stage_only,hypertrophic_scar_vs_normal_skin
