gs_name,NGenes,Direction,PValue,FDR,mode,contrast
REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION,299,Up,1.7746764577130527e-13,3.261855329276591e-10,stage_only,late_wound_vs_normal_skin
REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL,177,Up,4.677752947808217e-12,3.5301758241719246e-9,stage_only,late_wound_vs_normal_skin
REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS,96,Up,5.761984479061901e-12,3.5301758241719246e-9,stage_only,late_wound_vs_normal_skin
REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS,82,Up,3.7016892351463654e-11,1.7009262035497547e-8,stage_only,late_wound_vs_normal_skin
REACTOME_COLLAGEN_FORMATION,88,Up,7.690441996641325e-11,2.8270064779653513e-8,stage_only,late_wound_vs_normal_skin
REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS,95,Up,5.547106348987101e-10,1.699263578239715e-7,stage_only,late_wound_vs_normal_skin
REACTOME_SCAVENGING_BY_CLASS_A_RECEPTORS,17,Up,2.176667036261259e-9,5.715305732354563e-7,stage_only,late_wound_vs_normal_skin
REACTOME_CELL_EXTRACELLULAR_MATRIX_INTERACTIONS,18,Up,4.299767001309151e-9,9.878714685507774e-7,stage_only,late_wound_vs_normal_skin
REACTOME_COLLAGEN_BIOSYNTHESIS_AND_MODIFYING_ENZYMES,66,Up,7.615720987338856e-9,1.468938866451853e-6,stage_only,late_wound_vs_normal_skin
REACTOME_COLLAGEN_DEGRADATION,61,Up,8.691203519336055e-9,1.468938866451853e-6,stage_only,late_wound_vs_normal_skin
REACTOME_SMOOTH_MUSCLE_CONTRACTION,39,Up,8.791255457546455e-9,1.468938866451853e-6,stage_only,late_wound_vs_normal_skin
REACTOME_ASSEMBLY_OF_COLLAGEN_FIBRILS_AND_OTHER_MULTIMERIC_STRUCTURES,60,Up,1.0689092651815173e-8,1.6372126911696905e-6,stage_only,late_wound_vs_normal_skin
REACTOME_ELASTIC_FIBRE_FORMATION,43,Up,1.3401917088801915e-8,1.894824893016763e-6,stage_only,late_wound_vs_normal_skin
REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX,130,Up,1.559996464928915e-8,2.0480525018138186e-6,stage_only,late_wound_vs_normal_skin
REACTOME_ECM_PROTEOGLYCANS,71,Up,1.7369298644700887e-8,2.1283180605973487e-6,stage_only,late_wound_vs_normal_skin
REACTOME_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2,119,Up,5.4531677876003315e-8,6.264326496005881e-6,stage_only,late_wound_vs_normal_skin
REACTOME_COMPLEMENT_CASCADE,99,Up,6.802509832646677e-8,7.354713572002703e-6,stage_only,late_wound_vs_normal_skin
REACTOME_INTERLEUKIN_10_SIGNALING,44,Up,1.243774099443235e-7,1.2287220060065085e-5,stage_only,late_wound_vs_normal_skin
REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL,174,Up,1.2701696471231588e-7,1.2287220060065085e-5,stage_only,late_wound_vs_normal_skin
REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS,78,Up,1.990122785065821e-7,1.8289228394754895e-5,stage_only,late_wound_vs_normal_skin
REACTOME_TRAFFICKING_AND_PROCESSING_OF_ENDOSOMAL_TLR,13,Up,2.821490698956308e-7,2.469476145086521e-5,stage_only,late_wound_vs_normal_skin
REACTOME_O_GLYCOSYLATION_OF_TSR_DOMAIN_CONTAINING_PROTEINS,37,Up,3.4062797727084653e-7,2.8457919191991635e-5,stage_only,late_wound_vs_normal_skin
REACTOME_NEUTROPHIL_DEGRANULATION,466,Up,3.6286020363157323e-7,2.8997263229340506e-5,stage_only,late_wound_vs_normal_skin
REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT,75,Up,3.9557736162830655e-7,3.0294632944701142e-5,stage_only,late_wound_vs_normal_skin
REACTOME_SYNDECAN_INTERACTIONS,27,Up,5.391837864263555e-7,3.9640791978065655e-5,stage_only,late_wound_vs_normal_skin
REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING,102,Up,8.914751151456108e-7,6.302043313990895e-5,stage_only,late_wound_vs_normal_skin
REACTOME_CROSSLINKING_OF_COLLAGEN_FIBRILS,18,Up,1.0441197915862054e-6,7.107748803464614e-5,stage_only,late_wound_vs_normal_skin
REACTOME_G_ALPHA_S_SIGNALLING_EVENTS,108,Up,1.5641092037259113e-6,1.0267259701600802e-4,stage_only,late_wound_vs_normal_skin
REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS,67,Up,1.6819295967444538e-6,1.0659953789021745e-4,stage_only,late_wound_vs_normal_skin
REACTOME_FCGR_ACTIVATION,67,Up,2.214109148298766e-6,1.3565108715243773e-4,stage_only,late_wound_vs_normal_skin
REACTOME_MOLECULES_ASSOCIATED_WITH_ELASTIC_FIBRES,36,Up,2.3523020965488476e-6,1.3674795876273218e-4,stage_only,late_wound_vs_normal_skin
REACTOME_FIBRONECTIN_MATRIX_FORMATION,19,Up,2.3808132102325516e-6,1.3674795876273218e-4,stage_only,late_wound_vs_normal_skin
REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES,54,Up,3.3333794352778215e-6,1.8565913339517077e-4,stage_only,late_wound_vs_normal_skin
REACTOME_DISEASES_OF_GLYCOSYLATION,136,Up,3.6340465567726492e-6,1.9645228151023912e-4,stage_only,late_wound_vs_normal_skin
REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION,239,Up,3.831925568843652e-6,2.0123083415813232e-4,stage_only,late_wound_vs_normal_skin
REACTOME_GLYCOSAMINOGLYCAN_METABOLISM,127,Up,4.7016826614592485e-6,2.4004702032672496e-4,stage_only,late_wound_vs_normal_skin
REACTOME_ACTIVATION_OF_MATRIX_METALLOPROTEINASES,26,Up,5.092295186561537e-6,2.529632041324353e-4,stage_only,late_wound_vs_normal_skin
REACTOME_P130CAS_LINKAGE_TO_MAPK_SIGNALING_FOR_INTEGRINS,12,Up,7.178009741643414e-6,3.471889975036999e-4,stage_only,late_wound_vs_normal_skin
REACTOME_CHOLESTEROL_BIOSYNTHESIS,27,Down,7.69707108635346e-6,3.62243312443384e-4,stage_only,late_wound_vs_normal_skin
REACTOME_REGULATION_OF_TLR_BY_ENDOGENOUS_LIGAND,17,Up,7.883423556983329e-6,3.62243312443384e-4,stage_only,late_wound_vs_normal_skin
REACTOME_MET_ACTIVATES_PTK2_SIGNALING,30,Up,8.289763010839645e-6,3.7162401009568945e-4,stage_only,late_wound_vs_normal_skin
REACTOME_MATURATION_OF_DENV_PROTEINS,50,Up,1.0026368211367135e-5,4.3877297077363794e-4,stage_only,late_wound_vs_normal_skin
REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP,42,Down,1.4328452724448129e-5,6.080490123561734e-4,stage_only,late_wound_vs_normal_skin
REACTOME_DEVELOPMENTAL_CELL_LINEAGES_OF_THE_EXOCRINE_PANCREAS,59,Up,1.4623861813525795e-5,6.080490123561734e-4,stage_only,late_wound_vs_normal_skin
REACTOME_GRB2_SOS_PROVIDES_LINKAGE_TO_MAPK_SIGNALING_FOR_INTEGRINS,12,Up,1.4886945351484115e-5,6.080490123561734e-4,stage_only,late_wound_vs_normal_skin
REACTOME_CD22_MEDIATED_BCR_REGULATION,59,Up,1.540388160617845e-5,6.154855302642607e-4,stage_only,late_wound_vs_normal_skin
REACTOME_INNATE_IMMUNE_SYSTEM,1006,Up,1.6685243155932293e-5,6.524995089490118e-4,stage_only,late_wound_vs_normal_skin
REACTOME_PARASITE_INFECTION,113,Up,1.710249015649264e-5,6.54882852242364e-4,stage_only,late_wound_vs_normal_skin
REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS,128,Up,1.7468371259916194e-5,6.55242170933183e-4,stage_only,late_wound_vs_normal_skin
REACTOME_DEVELOPMENTAL_LINEAGE_OF_PANCREATIC_DUCTAL_CELLS,42,Up,2.0146023610312564e-5,7.405678279150898e-4,stage_only,late_wound_vs_normal_skin
REACTOME_HEMOSTASIS,591,Up,2.0982724253807053e-5,7.486419990140967e-4,stage_only,late_wound_vs_normal_skin
REACTOME_NITRIC_OXIDE_STIMULATES_GUANYLATE_CYCLASE,21,Up,2.1180295945991855e-5,7.486419990140967e-4,stage_only,late_wound_vs_normal_skin
REACTOME_ANTI_INFLAMMATORY_RESPONSE_FAVOURING_LEISHMANIA_PARASITE_INFECTION,126,Up,2.214599071975585e-5,7.680062442058725e-4,stage_only,late_wound_vs_normal_skin
REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA,64,Up,2.292574189813256e-5,7.803243260882897e-4,stage_only,late_wound_vs_normal_skin
REACTOME_FCGR3A_MEDIATED_IL10_SYNTHESIS,92,Up,2.492498531195433e-5,8.329476909704012e-4,stage_only,late_wound_vs_normal_skin
REACTOME_DISEASES_ASSOCIATED_WITH_GLYCOSAMINOGLYCAN_METABOLISM,39,Up,2.8823031079590654e-5,9.454229872413576e-4,stage_only,late_wound_vs_normal_skin
REACTOME_KERATAN_SULFATE_KERATIN_METABOLISM,37,Up,2.9670875804981847e-5,9.454229872413576e-4,stage_only,late_wound_vs_normal_skin
REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS,84,Up,2.9833804820456333e-5,9.454229872413576e-4,stage_only,late_wound_vs_normal_skin
REACTOME_MET_PROMOTES_CELL_MOTILITY,41,Up,3.125143652080991e-5,9.735617004279427e-4,stage_only,late_wound_vs_normal_skin
REACTOME_O_LINKED_GLYCOSYLATION,111,Up,3.375651515959535e-5,0.001034074581055604,stage_only,late_wound_vs_normal_skin
REACTOME_CHONDROITIN_SULFATE_DERMATAN_SULFATE_METABOLISM,35,Up,3.543256134982409e-5,0.0010676237337865029,stage_only,late_wound_vs_normal_skin
REACTOME_LAMININ_INTERACTIONS,30,Up,3.897925872374149e-5,0.0011555464118425298,stage_only,late_wound_vs_normal_skin
REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS,225,Up,4.5239625452255e-5,0.0013128608076456178,stage_only,late_wound_vs_normal_skin
REACTOME_REGULATION_OF_CYTOSKELETAL_REMODELING_AND_CELL_SPREADING_BY_IPP_COMPLEX_COMPONENTS,8,Up,4.652446991466359e-5,0.0013128608076456178,stage_only,late_wound_vs_normal_skin
REACTOME_LEISHMANIA_INFECTION,210,Up,4.713056906822771e-5,0.0013128608076456178,stage_only,late_wound_vs_normal_skin
REACTOME_INTERFERON_ALPHA_BETA_SIGNALING,64,Up,4.714298874026702e-5,0.0013128608076456178,stage_only,late_wound_vs_normal_skin
REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES,36,Up,5.482522540252739e-5,0.0015040114073111245,stage_only,late_wound_vs_normal_skin
REACTOME_PLATELET_AGGREGATION_PLUG_FORMATION,33,Up,6.461380036885432e-5,0.0017464730158522684,stage_only,late_wound_vs_normal_skin
REACTOME_PHOSPHORYLATION_OF_CD3_AND_TCR_ZETA_CHAINS,24,Up,7.452562215082806e-5,0.001985189761061188,stage_only,late_wound_vs_normal_skin
REACTOME_SYNTHESIS_OF_SUBSTRATES_IN_N_GLYCAN_BIOSYTHESIS,62,Up,7.567486157198144e-5,0.0019870056509900267,stage_only,late_wound_vs_normal_skin
REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION,95,Up,8.103513124613092e-5,0.0020977826933857554,stage_only,late_wound_vs_normal_skin
REACTOME_CHROMATIN_ORGANIZATION,243,Down,8.592445231673006e-5,0.002193460324418748,stage_only,late_wound_vs_normal_skin
REACTOME_FORMATION_OF_WDR5_CONTAINING_HISTONE_MODIFYING_COMPLEXES,42,Down,8.761608049612498e-5,0.002206004876053119,stage_only,late_wound_vs_normal_skin
REACTOME_FCGAMMA_RECEPTOR_FCGR_DEPENDENT_PHAGOCYTOSIS,140,Up,9.525069095597493e-5,0.0023658212159065124,stage_only,late_wound_vs_normal_skin
REACTOME_IRAK4_DEFICIENCY_TLR2_4,15,Up,9.734510062724387e-5,0.0023856039327049897,stage_only,late_wound_vs_normal_skin
REACTOME_CS_GAG_BIOSYNTHESIS,19,Up,1.0300462836816218e-4,0.002489208158718399,stage_only,late_wound_vs_normal_skin
REACTOME_ATTACHMENT_OF_BACTERIA_TO_EPITHELIAL_CELLS,23,Up,1.0428129935871421e-4,0.002489208158718399,stage_only,late_wound_vs_normal_skin
REACTOME_MATURATION_OF_SARS_COV_2_SPIKE_PROTEIN,40,Up,1.0670172541951145e-4,0.0025064085589362843,stage_only,late_wound_vs_normal_skin
REACTOME_INFECTION_WITH_ENTEROBACTERIA,40,Up,1.0772920356690232e-4,0.0025064085589362843,stage_only,late_wound_vs_normal_skin
REACTOME_INTERLEUKIN_2_FAMILY_SIGNALING,39,Up,1.1449120050059264e-4,0.002630435331501116,stage_only,late_wound_vs_normal_skin
