Sample_name,Condition,Donor,Seq_Batch,AnnoType,annotated_spots,ECM_organization,cell_cycle_mitotic,collagen_biosynthesis,collagen_formation,innate_immune_system,neutrophil_degranulation
Donor1_Skin,Skin,Donor1,1,Basal_epi,38,0.2562793779918757,0.2444895035346009,0.36165515872876464,0.34117875565892014,0.2623121018644043,0.37244462836496467
Donor1_Skin,Skin,Donor1,1,Dermis1,58,0.2622567998487969,0.07566904481065256,0.40504826279857237,0.3452454340349651,0.12766429056369893,0.18729595161039547
Donor1_Skin,Skin,Donor1,1,Dermis2,5,0.2792071719715524,0.0898013752239332,0.3775926429073048,0.37162441334091956,0.14102625216646764,0.19090675353831857
Donor1_Skin,Skin,Donor1,1,FB1,42,0.3476666323444849,0.0897186361527454,0.5613342495954969,0.47157972270015974,0.15236410679416101,0.22574729570636223
Donor1_Skin,Skin,Donor1,1,FB2,165,0.4032291444856911,0.10608479449818035,0.617140452474627,0.53309395289209,0.17991922475613012,0.2627905133972461
Donor1_Skin,Skin,Donor1,1,Hair_follicle,2,0.2594896703588896,0.061166287148667516,0.4310844190438272,0.3563727503925092,0.11336624467668305,0.1702207120655621
Donor1_Skin,Skin,Donor1,1,Immune,52,0.31173864952067376,0.1049102998961907,0.46529886910687046,0.40424362865836283,0.17384830102154464,0.24935009260447463
Donor1_Skin,Skin,Donor1,1,Immune_endo,119,0.35796428170894307,0.14542033313669686,0.4860343877720532,0.4334198356160591,0.22657452865933203,0.31453544339332973
Donor1_Skin,Skin,Donor1,1,LE,19,0.3737610971259135,0.1589400831001029,0.4688336919427661,0.4379611267435427,0.23607725213922445,0.3308296353199995
Donor1_Skin,Skin,Donor1,1,Mast_cell,9,0.2640947581032631,0.07804650685332956,0.43279548203908363,0.3539175351273682,0.12971543161398513,0.18676668464323387
Donor1_Skin,Skin,Donor1,1,Papillary_dermis,30,0.19521460291678477,0.09610730172428178,0.2996567476551151,0.26333199656487305,0.14121571495160018,0.20770930359712583
Donor1_Skin,Skin,Donor1,1,Sebaceous_gland,3,0.22174015400570168,0.06679526183723267,0.30375427539650274,0.25137696504921153,0.10388774914591559,0.16070001616800575
Donor1_Skin,Skin,Donor1,1,Smooth_muscle,48,0.3244663332666226,0.12578992918451856,0.4166017214435244,0.3736443653867552,0.17666610121748583,0.24695396831526292
Donor1_Skin,Skin,Donor1,1,Suprabasal_epi,95,0.2037785938774464,0.16430209759264255,0.2873795394366411,0.2587121756496683,0.1999232603310303,0.2943542396265869
Donor1_Skin,Skin,Donor1,1,Sweat_gland,15,0.3234340049689488,0.17981050345780353,0.4159369281984696,0.42343226079245877,0.2435855789324296,0.3520965778000834
Donor1_Skin,Skin,Donor1,1,Sweatgland_FB,70,0.23879643913692655,0.09669600753667477,0.34591831388681554,0.2988446468724568,0.15548141606479296,0.21523913428443806
Donor1_Skin,Skin,Donor1,1,Wound_edges,40,0.22977358395945213,0.12030948149242812,0.33182701759702815,0.2930472197440193,0.16626958944483544,0.24484255246024503
