module,gene_symbol
ECM_organization,A2M
ECM_organization,ACAN
ECM_organization,ACTA1
ECM_organization,ACTA2
ECM_organization,ACTB
ECM_organization,ACTC1
ECM_organization,ACTG1
ECM_organization,ACTG2
ECM_organization,ACTN1
ECM_organization,ADAM10
ECM_organization,ADAM12
ECM_organization,ADAM15
ECM_organization,ADAM17
ECM_organization,ADAM19
ECM_organization,ADAM8
ECM_organization,ADAM9
ECM_organization,ADAMTS1
ECM_organization,ADAMTS14
ECM_organization,ADAMTS16
ECM_organization,ADAMTS18
ECM_organization,ADAMTS2
ECM_organization,ADAMTS3
ECM_organization,ADAMTS4
ECM_organization,ADAMTS5
ECM_organization,ADAMTS8
ECM_organization,ADAMTS9
ECM_organization,AGRN
ECM_organization,APP
ECM_organization,ASPN
ECM_organization,BCAN
ECM_organization,BGN
ECM_organization,BMP1
ECM_organization,BMP10
ECM_organization,BMP2
ECM_organization,BMP4
ECM_organization,BMP7
ECM_organization,BSG
ECM_organization,CAPN1
ECM_organization,CAPN10
ECM_organization,CAPN11
ECM_organization,CAPN12
ECM_organization,CAPN13
ECM_organization,CAPN14
ECM_organization,CAPN15
ECM_organization,CAPN2
ECM_organization,CAPN3
ECM_organization,CAPN5
ECM_organization,CAPN6
ECM_organization,CAPN7
ECM_organization,CAPN8
ECM_organization,CAPN9
ECM_organization,CAPNS1
ECM_organization,CAPNS2
ECM_organization,CASK
ECM_organization,CASP3
ECM_organization,CAST
ECM_organization,CD151
ECM_organization,CD44
ECM_organization,CD47
ECM_organization,CDH1
ECM_organization,CEACAM1
ECM_organization,CEACAM6
ECM_organization,CEACAM8
ECM_organization,CMA1
ECM_organization,COL10A1
ECM_organization,COL11A1
ECM_organization,COL11A2
ECM_organization,COL12A1
ECM_organization,COL13A1
ECM_organization,COL14A1
ECM_organization,COL15A1
ECM_organization,COL16A1
ECM_organization,COL17A1
ECM_organization,COL18A1
ECM_organization,COL19A1
ECM_organization,COL1A1
ECM_organization,COL1A2
ECM_organization,COL20A1
ECM_organization,COL21A1
ECM_organization,COL22A1
ECM_organization,COL23A1
ECM_organization,COL24A1
ECM_organization,COL25A1
ECM_organization,COL26A1
ECM_organization,COL27A1
ECM_organization,COL28A1
ECM_organization,COL2A1
ECM_organization,COL3A1
ECM_organization,COL4A1
ECM_organization,COL4A2
ECM_organization,COL4A3
ECM_organization,COL4A4
ECM_organization,COL4A5
ECM_organization,COL4A6
ECM_organization,COL5A1
ECM_organization,COL5A2
ECM_organization,COL5A3
ECM_organization,COL6A1
ECM_organization,COL6A2
ECM_organization,COL6A3
ECM_organization,COL6A5
ECM_organization,COL6A6
ECM_organization,COL7A1
ECM_organization,COL8A1
ECM_organization,COL8A2
ECM_organization,COL9A1
ECM_organization,COL9A2
ECM_organization,COL9A3
ECM_organization,COLGALT1
ECM_organization,COLGALT2
ECM_organization,COMP
ECM_organization,CRTAP
ECM_organization,CTRB1
ECM_organization,CTRB2
ECM_organization,CTSB
ECM_organization,CTSD
ECM_organization,CTSG
ECM_organization,CTSK
ECM_organization,CTSL
ECM_organization,CTSS
ECM_organization,CTSV
ECM_organization,DAG1
ECM_organization,DCN
ECM_organization,DDR1
ECM_organization,DDR2
ECM_organization,DMD
ECM_organization,DMP1
ECM_organization,DRP2
ECM_organization,DSPP
ECM_organization,DST
ECM_organization,DTNA
ECM_organization,DTNB
ECM_organization,EFEMP1
ECM_organization,EFEMP2
ECM_organization,ELANE
ECM_organization,ELN
ECM_organization,EMILIN1
ECM_organization,EMILIN2
ECM_organization,EMILIN3
ECM_organization,F11R
ECM_organization,FBLN1
ECM_organization,FBLN2
ECM_organization,FBLN5
ECM_organization,FBN1
ECM_organization,FBN2
ECM_organization,FBN3
ECM_organization,FGA
ECM_organization,FGB
ECM_organization,FGF2
ECM_organization,FGG
ECM_organization,FMOD
ECM_organization,FN1
ECM_organization,FURIN
ECM_organization,GDF5
ECM_organization,HAPLN1
ECM_organization,HSPG2
ECM_organization,HTRA1
ECM_organization,IBSP
ECM_organization,ICAM1
ECM_organization,ICAM2
ECM_organization,ICAM3
ECM_organization,ICAM4
ECM_organization,ICAM5
ECM_organization,ITGA1
ECM_organization,ITGA10
ECM_organization,ITGA11
ECM_organization,ITGA2
ECM_organization,ITGA2B
ECM_organization,ITGA3
ECM_organization,ITGA4
ECM_organization,ITGA5
ECM_organization,ITGA6
ECM_organization,ITGA7
ECM_organization,ITGA8
ECM_organization,ITGA9
ECM_organization,ITGAD
ECM_organization,ITGAE
ECM_organization,ITGAL
ECM_organization,ITGAM
ECM_organization,ITGAV
ECM_organization,ITGAX
ECM_organization,ITGB1
ECM_organization,ITGB2
ECM_organization,ITGB3
ECM_organization,ITGB4
ECM_organization,ITGB5
ECM_organization,ITGB6
ECM_organization,ITGB7
ECM_organization,ITGB8
ECM_organization,JAM2
ECM_organization,JAM3
ECM_organization,KDR
ECM_organization,KLK2
ECM_organization,KLK7
ECM_organization,KLKB1
ECM_organization,LAMA1
ECM_organization,LAMA2
ECM_organization,LAMA3
ECM_organization,LAMA4
ECM_organization,LAMA5
ECM_organization,LAMB1
ECM_organization,LAMB2
ECM_organization,LAMB3
ECM_organization,LAMC1
ECM_organization,LAMC2
ECM_organization,LAMC3
ECM_organization,LOX
ECM_organization,LOXL1
ECM_organization,LOXL2
ECM_organization,LOXL3
ECM_organization,LOXL4
ECM_organization,LRP4
ECM_organization,LTBP1
ECM_organization,LTBP2
ECM_organization,LTBP3
ECM_organization,LTBP4
ECM_organization,LUM
ECM_organization,MADCAM1
ECM_organization,MATN1
ECM_organization,MATN3
ECM_organization,MATN4
ECM_organization,MFAP2
ECM_organization,MFAP3
ECM_organization,MFAP4
ECM_organization,MFAP5
ECM_organization,MMP1
ECM_organization,MMP10
ECM_organization,MMP11
ECM_organization,MMP12
ECM_organization,MMP13
ECM_organization,MMP14
ECM_organization,MMP15
ECM_organization,MMP16
ECM_organization,MMP17
ECM_organization,MMP19
ECM_organization,MMP2
ECM_organization,MMP20
ECM_organization,MMP24
ECM_organization,MMP25
ECM_organization,MMP3
ECM_organization,MMP7
ECM_organization,MMP8
ECM_organization,MMP9
ECM_organization,MUSK
ECM_organization,NCAM1
ECM_organization,NCAN
ECM_organization,NCSTN
ECM_organization,NID1
ECM_organization,NID2
ECM_organization,NRXN1
ECM_organization,NTN4
ECM_organization,OPTC
ECM_organization,P3H1
ECM_organization,P3H2
ECM_organization,P3H3
ECM_organization,P4HA1
ECM_organization,P4HA2
ECM_organization,P4HA3
ECM_organization,P4HB
ECM_organization,PCOLCE
ECM_organization,PCOLCE2
ECM_organization,PDGFA
ECM_organization,PDGFB
ECM_organization,PECAM1
ECM_organization,PHYKPL
ECM_organization,PLEC
ECM_organization,PLG
ECM_organization,PLOD1
ECM_organization,PLOD2
ECM_organization,PLOD3
ECM_organization,PPIB
ECM_organization,PRKCA
ECM_organization,PRSS1
ECM_organization,PRSS2
ECM_organization,PSEN1
ECM_organization,PTPRS
ECM_organization,PXDN
ECM_organization,SCUBE1
ECM_organization,SCUBE3
ECM_organization,SDC1
ECM_organization,SDC2
ECM_organization,SDC3
ECM_organization,SDC4
ECM_organization,SERPINE1
ECM_organization,SERPINH1
ECM_organization,SGCA
ECM_organization,SGCB
ECM_organization,SGCD
ECM_organization,SGCE
ECM_organization,SGCG
ECM_organization,SGCZ
ECM_organization,SH3PXD2A
ECM_organization,SNTA1
ECM_organization,SNTB1
ECM_organization,SNTB2
ECM_organization,SNTG2
ECM_organization,SPARC
ECM_organization,SPOCK3
ECM_organization,SPP1
ECM_organization,SSPN
ECM_organization,TGFB1
ECM_organization,TGFB2
ECM_organization,TGFB3
ECM_organization,THBS1
ECM_organization,TIMP1
ECM_organization,TIMP2
ECM_organization,TLL1
ECM_organization,TLL2
ECM_organization,TMPRSS6
ECM_organization,TNC
ECM_organization,TNN
ECM_organization,TNR
ECM_organization,TNXB
ECM_organization,TPSAB1
ECM_organization,TRAPPC4
ECM_organization,TTR
ECM_organization,UTRN
ECM_organization,VCAM1
ECM_organization,VCAN
ECM_organization,VTN
ECM_organization,VWF
collagen_formation,ADAMTS14
collagen_formation,ADAMTS2
collagen_formation,ADAMTS3
collagen_formation,BMP1
collagen_formation,CD151
collagen_formation,COL10A1
collagen_formation,COL11A1
collagen_formation,COL11A2
collagen_formation,COL12A1
collagen_formation,COL13A1
collagen_formation,COL14A1
collagen_formation,COL15A1
collagen_formation,COL16A1
collagen_formation,COL17A1
collagen_formation,COL18A1
collagen_formation,COL19A1
collagen_formation,COL1A1
collagen_formation,COL1A2
collagen_formation,COL20A1
collagen_formation,COL21A1
collagen_formation,COL22A1
collagen_formation,COL23A1
collagen_formation,COL24A1
collagen_formation,COL25A1
collagen_formation,COL26A1
collagen_formation,COL27A1
collagen_formation,COL28A1
collagen_formation,COL2A1
collagen_formation,COL3A1
collagen_formation,COL4A1
collagen_formation,COL4A2
collagen_formation,COL4A3
collagen_formation,COL4A4
collagen_formation,COL4A5
collagen_formation,COL4A6
collagen_formation,COL5A1
collagen_formation,COL5A2
collagen_formation,COL5A3
collagen_formation,COL6A1
collagen_formation,COL6A2
collagen_formation,COL6A3
collagen_formation,COL6A5
collagen_formation,COL6A6
collagen_formation,COL7A1
collagen_formation,COL8A1
collagen_formation,COL8A2
collagen_formation,COL9A1
collagen_formation,COL9A2
collagen_formation,COL9A3
collagen_formation,COLGALT1
collagen_formation,COLGALT2
collagen_formation,CRTAP
collagen_formation,CTSB
collagen_formation,CTSL
collagen_formation,CTSS
collagen_formation,CTSV
collagen_formation,DST
collagen_formation,ITGA6
collagen_formation,ITGB4
collagen_formation,LAMA3
collagen_formation,LAMB3
collagen_formation,LAMC2
collagen_formation,LOX
collagen_formation,LOXL1
collagen_formation,LOXL2
collagen_formation,LOXL3
collagen_formation,LOXL4
collagen_formation,MMP13
collagen_formation,MMP20
collagen_formation,MMP3
collagen_formation,MMP7
collagen_formation,MMP9
collagen_formation,P3H1
collagen_formation,P3H2
collagen_formation,P3H3
collagen_formation,P4HA1
collagen_formation,P4HA2
collagen_formation,P4HA3
collagen_formation,P4HB
collagen_formation,PCOLCE
collagen_formation,PCOLCE2
collagen_formation,PLEC
collagen_formation,PLOD1
collagen_formation,PLOD2
collagen_formation,PLOD3
collagen_formation,PPIB
collagen_formation,PXDN
collagen_formation,SERPINH1
collagen_formation,TLL1
collagen_formation,TLL2
collagen_biosynthesis,ADAMTS14
collagen_biosynthesis,ADAMTS2
collagen_biosynthesis,ADAMTS3
collagen_biosynthesis,BMP1
collagen_biosynthesis,COL10A1
collagen_biosynthesis,COL11A1
collagen_biosynthesis,COL11A2
collagen_biosynthesis,COL12A1
collagen_biosynthesis,COL13A1
collagen_biosynthesis,COL14A1
collagen_biosynthesis,COL15A1
collagen_biosynthesis,COL16A1
collagen_biosynthesis,COL17A1
collagen_biosynthesis,COL18A1
collagen_biosynthesis,COL19A1
collagen_biosynthesis,COL1A1
collagen_biosynthesis,COL1A2
collagen_biosynthesis,COL20A1
collagen_biosynthesis,COL21A1
collagen_biosynthesis,COL22A1
collagen_biosynthesis,COL23A1
collagen_biosynthesis,COL24A1
collagen_biosynthesis,COL25A1
collagen_biosynthesis,COL26A1
collagen_biosynthesis,COL27A1
collagen_biosynthesis,COL28A1
collagen_biosynthesis,COL2A1
collagen_biosynthesis,COL3A1
collagen_biosynthesis,COL4A1
collagen_biosynthesis,COL4A2
collagen_biosynthesis,COL4A3
collagen_biosynthesis,COL4A4
collagen_biosynthesis,COL4A5
collagen_biosynthesis,COL4A6
collagen_biosynthesis,COL5A1
collagen_biosynthesis,COL5A2
collagen_biosynthesis,COL5A3
collagen_biosynthesis,COL6A1
collagen_biosynthesis,COL6A2
collagen_biosynthesis,COL6A3
collagen_biosynthesis,COL6A5
collagen_biosynthesis,COL6A6
collagen_biosynthesis,COL7A1
collagen_biosynthesis,COL8A1
collagen_biosynthesis,COL8A2
collagen_biosynthesis,COL9A1
collagen_biosynthesis,COL9A2
collagen_biosynthesis,COL9A3
collagen_biosynthesis,COLGALT1
collagen_biosynthesis,COLGALT2
collagen_biosynthesis,CRTAP
collagen_biosynthesis,P3H1
collagen_biosynthesis,P3H2
collagen_biosynthesis,P3H3
collagen_biosynthesis,P4HA1
collagen_biosynthesis,P4HA2
collagen_biosynthesis,P4HA3
collagen_biosynthesis,P4HB
collagen_biosynthesis,PCOLCE
collagen_biosynthesis,PCOLCE2
collagen_biosynthesis,PLOD1
collagen_biosynthesis,PLOD2
collagen_biosynthesis,PLOD3
collagen_biosynthesis,PPIB
collagen_biosynthesis,SERPINH1
collagen_biosynthesis,TLL1
collagen_biosynthesis,TLL2
neutrophil_degranulation,A1BG
neutrophil_degranulation,ABCA13
neutrophil_degranulation,ACAA1
neutrophil_degranulation,ACLY
neutrophil_degranulation,ACP3
neutrophil_degranulation,ACTR10
neutrophil_degranulation,ACTR1B
neutrophil_degranulation,ACTR2
neutrophil_degranulation,ADA2
neutrophil_degranulation,ADAM10
neutrophil_degranulation,ADAM8
neutrophil_degranulation,ADGRE3
neutrophil_degranulation,ADGRE5
neutrophil_degranulation,ADGRG3
neutrophil_degranulation,AGA
neutrophil_degranulation,AGL
neutrophil_degranulation,AGPAT2
neutrophil_degranulation,AHSG
neutrophil_degranulation,ALAD
neutrophil_degranulation,ALDH3B1
neutrophil_degranulation,ALDOA
neutrophil_degranulation,ALDOC
neutrophil_degranulation,ALOX5
neutrophil_degranulation,AMPD3
neutrophil_degranulation,ANO6
neutrophil_degranulation,ANPEP
neutrophil_degranulation,ANXA2
neutrophil_degranulation,AOC1
neutrophil_degranulation,AP1M1
neutrophil_degranulation,AP2A2
neutrophil_degranulation,APAF1
neutrophil_degranulation,APEH
neutrophil_degranulation,APRT
neutrophil_degranulation,ARG1
neutrophil_degranulation,ARHGAP45
neutrophil_degranulation,ARHGAP9
